County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2020-06-05,10932,1798,0.16447127698499817,267,6,261,267
DuPage,2020-06-05,1845,321,0.17398373983739837,58,0,58,58
Lake,2020-06-05,1390,202,0.14532374100719425,41,1,40,41
Kane,2020-06-05,773,125,0.16170763260025872,28,0,28,28
Will,2020-06-05,747,143,0.19143239625167335,28,9,19,28
St. Clair,2020-06-05,417,63,0.1510791366906475,13,0,13,13
McHenry,2020-06-05,333,60,0.18018018018018017,10,2,8,10
Kankakee,2020-06-05,297,34,0.11447811447811448,11,1,10,11
Madison,2020-06-05,211,55,0.26066350710900477,7,0,7,7
Winnebago,2020-06-05,197,37,0.18781725888324874,17,0,17,17
Clinton,2020-06-05,173,16,0.09248554913294797,3,0,3,3
Rock Island,2020-06-05,145,22,0.15172413793103448,9,1,8,9
Union,2020-06-05,129,14,0.10852713178294573,3,0,3,3
Sangamon,2020-06-05,124,24,0.1935483870967742,2,0,2,2
Peoria,2020-06-05,115,8,0.06956521739130435,7,1,6,7
Macon,2020-06-05,100,20,0.2,3,0,3,3
Boone,2020-06-05,92,13,0.14130434782608695,2,0,2,2
Coles,2020-06-05,92,15,0.16304347826086957,3,0,3,3
Lee,2020-06-05,74,1,0.013513513513513514,1,0,1,1
DeKalb,2020-06-05,74,5,0.06756756756756757,3,0,3,3
Jefferson,2020-06-05,73,15,0.2054794520547945,1,0,1,1
McLean,2020-06-05,65,10,0.15384615384615385,3,1,2,3
McDonough,2020-06-05,60,14,0.23333333333333334,3,0,3,3
Whiteside,2020-06-05,50,9,0.18,4,1,3,4
Jasper,2020-06-05,49,7,0.14285714285714285,1,0,1,1
Kendall,2020-06-05,48,14,0.2916666666666667,3,1,2,3
Jackson,2020-06-05,47,10,0.2127659574468085,2,0,2,2
Iroquois,2020-06-05,47,4,0.0851063829787234,2,0,2,2
Monroe,2020-06-05,46,11,0.2391304347826087,3,0,3,3
LaSalle,2020-06-05,41,10,0.24390243902439024,1,0,1,1
Champaign,2020-06-05,13,0,0.0,2,0,2,2
Tazewell,2020-06-05,10,3,0.3,2,0,2,2
Shelby,2020-06-05,6,0,0.0,1,1,0,1
Macoupin,2020-06-05,6,0,0.0,2,1,1,2
Wayne,2020-06-05,6,1,0.16666666666666666,1,1,0,1
Randolph,2020-06-05,4,0,0.0,2,0,2,2
Montgomery,2020-06-05,2,0,0.0,1,1,0,1
Ford,2020-06-05,2,0,0.0,1,1,0,1
Jo Daviess,2020-06-05,2,0,0.0,1,0,1,1
Christian,2020-06-05,2,0,0.0,1,0,1,1
Ogle,2020-06-05,2,0,0.0,1,0,1,1
