County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Cook,2020-07-03,13031,2194,0.16836773846980277,282,282
DuPage,2020-07-03,2096,382,0.18225190839694658,59,59
Lake,2020-07-03,1742,289,0.16590126291618829,49,49
Kane,2020-07-03,930,156,0.16774193548387098,33,33
Will,2020-07-03,821,155,0.18879415347137637,31,30
St. Clair,2020-07-03,529,96,0.18147448015122875,16,16
McHenry,2020-07-03,435,78,0.1793103448275862,13,12
Winnebago,2020-07-03,402,61,0.1517412935323383,17,17
Kankakee,2020-07-03,330,41,0.12424242424242424,12,12
Madison,2020-07-03,285,59,0.20701754385964913,11,11
Clinton,2020-07-03,182,17,0.09340659340659341,4,4
Rock Island,2020-07-03,174,22,0.12643678160919541,10,10
Sangamon,2020-07-03,148,28,0.1891891891891892,6,6
Peoria,2020-07-03,146,25,0.17123287671232876,7,7
Union,2020-07-03,130,18,0.13846153846153847,3,3
Macon,2020-07-03,102,22,0.21568627450980393,4,4
DeKalb,2020-07-03,94,12,0.1276595744680851,4,4
Boone,2020-07-03,93,14,0.15053763440860216,2,2
Coles,2020-07-03,92,16,0.17391304347826086,2,2
Lee,2020-07-03,76,1,0.013157894736842105,1,1
Jefferson,2020-07-03,73,16,0.2191780821917808,1,1
Whiteside,2020-07-03,69,10,0.14492753623188406,6,6
McDonough,2020-07-03,68,16,0.23529411764705882,3,3
McLean,2020-07-03,65,10,0.15384615384615385,3,3
Morgan,2020-07-03,62,2,0.03225806451612903,1,1
Kendall,2020-07-03,60,14,0.23333333333333334,3,3
Jackson,2020-07-03,56,15,0.26785714285714285,2,2
Iroquois,2020-07-03,53,4,0.07547169811320754,2,2
Monroe,2020-07-03,51,11,0.21568627450980393,3,3
Cass,2020-07-03,50,2,0.04,1,1
Jasper,2020-07-03,49,8,0.16326530612244897,1,1
LaSalle,2020-07-03,46,10,0.21739130434782608,2,2
Champaign,2020-07-03,39,2,0.05128205128205128,3,3
Grundy,2020-07-03,31,2,0.06451612903225806,1,1
Tazewell,2020-07-03,26,6,0.23076923076923078,2,2
Wayne,2020-07-03,8,1,0.125,2,2
Ford,2020-07-03,7,0,0.0,2,2
Shelby,2020-07-03,6,0,0.0,1,1
Macoupin,2020-07-03,6,0,0.0,2,2
Ogle,2020-07-03,4,0,0.0,1,1
Randolph,2020-07-03,4,0,0.0,2,2
Montgomery,2020-07-03,2,0,0.0,1,1
Stephenson,2020-07-03,2,0,0.0,1,1
Christian,2020-07-03,2,0,0.0,1,1
Jo Daviess,2020-07-03,2,0,0.0,1,1
