County,confirmed_cases,deaths,% deaths,num of facilities
Cook,14318,2390,0.16692275457466127,330
DuPage,2383,433,0.18170373478808224,83
Lake,2172,336,0.15469613259668508,66
Kane,1217,189,0.1552999178307313,54
Will,1137,187,0.1644678979771328,51
St. Clair,851,116,0.136310223266745,32
Winnebago,606,104,0.1716171617161716,20
Madison,753,104,0.13811420982735723,29
McHenry,514,92,0.17898832684824903,15
Rock Island,428,64,0.14953271028037382,15
Kankakee,540,46,0.08518518518518518,15
LaSalle,293,43,0.14675767918088736,9
Peoria,279,37,0.13261648745519714,14
Jefferson,181,36,0.19889502762430938,5
Macon,242,33,0.13636363636363635,8
Sangamon,255,32,0.12549019607843137,11
Williamson,226,32,0.1415929203539823,6
DeKalb,178,26,0.14606741573033707,8
Coles,206,25,0.12135922330097088,6
Morgan,154,22,0.14285714285714285,5
Union,132,20,0.15151515151515152,3
Iroquois,132,18,0.13636363636363635,3
Jackson,76,16,0.21052631578947367,3
Clinton,209,16,0.07655502392344497,8
Boone,95,16,0.16842105263157894,2
McDonough,71,16,0.22535211267605634,4
Kendall,66,14,0.21212121212121213,4
Tazewell,134,14,0.1044776119402985,11
Greene,91,13,0.14285714285714285,1
Jersey,96,12,0.125,1
Monroe,101,12,0.1188118811881188,4
McLean,110,12,0.10909090909090909,10
Whiteside,93,11,0.11827956989247312,6
Perry,79,11,0.13924050632911392,2
Cass,65,11,0.16923076923076924,2
Jasper,56,8,0.14285714285714285,2
Champaign,87,7,0.08045977011494253,12
Edgar,33,6,0.18181818181818182,1
Christian,131,6,0.04580152671755725,8
Adams,102,5,0.049019607843137254,6
Richland,84,5,0.05952380952380952,3
Moultrie,34,3,0.08823529411764706,1
Montgomery,17,3,0.17647058823529413,3
Macoupin,53,3,0.05660377358490566,7
Mercer,16,3,0.1875,1
Ford,53,3,0.05660377358490566,5
Cumberland,35,3,0.08571428571428572,1
Carroll,31,3,0.0967741935483871,2
Grundy,31,3,0.0967741935483871,1
Woodford,40,2,0.05,3
Bond,32,2,0.0625,2
Knox,30,2,0.06666666666666667,2
Fayette,53,2,0.03773584905660377,2
Lee,156,1,0.00641025641025641,3
Livingston,15,1,0.06666666666666667,3
Bureau,18,1,0.05555555555555555,2
Wayne,10,1,0.1,3
Effingham,9,0,0.0,3
Clark,26,0,0.0,3
Clay,19,0,0.0,1
De Witt,2,0,0.0,1
White,10,0,0.0,2
Warren,11,0,0.0,2
Wabash,26,0,0.0,3
Vermilion,10,0,0.0,3
Douglas,2,0,0.0,1
Marion,14,0,0.0,5
Stephenson,2,0,0.0,1
Logan,6,0,0.0,2
Scott,7,0,0.0,1
Franklin,4,0,0.0,2
Saline,3,0,0.0,1
Hardin,2,0,0.0,1
Jo Daviess,14,0,0.0,3
Randolph,16,0,0.0,4
Pike,2,0,0.0,1
Lawrence,2,0,0.0,1
Ogle,17,0,0.0,3
Shelby,48,0,0.0,4
