County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Cook,2020-09-18,14124,2380,0.1685075049561031,311,296
DuPage,2020-09-18,2367,431,0.18208702999577525,78,73
Lake,2020-09-18,2129,336,0.15782057303898545,65,60
Kane,2020-09-18,1181,187,0.15834038950042337,50,47
Will,2020-09-18,1030,177,0.17184466019417477,48,36
St. Clair,2020-09-18,795,111,0.13962264150943396,29,28
Madison,2020-09-18,700,96,0.13714285714285715,28,23
Winnebago,2020-09-18,610,101,0.16557377049180327,16,16
Kankakee,2020-09-18,531,44,0.08286252354048965,15,14
McHenry,2020-09-18,515,92,0.1786407766990291,15,14
Rock Island,2020-09-18,418,60,0.14354066985645933,14,14
LaSalle,2020-09-18,298,37,0.12416107382550336,9,9
Peoria,2020-09-18,243,36,0.14814814814814814,12,11
Clinton,2020-09-18,227,16,0.07048458149779736,8,7
Macon,2020-09-18,214,28,0.1308411214953271,8,7
Sangamon,2020-09-18,210,32,0.1523809523809524,9,9
Williamson,2020-09-18,204,21,0.10294117647058823,6,6
Coles,2020-09-18,185,23,0.12432432432432433,6,5
Jefferson,2020-09-18,181,36,0.19889502762430938,5,5
DeKalb,2020-09-18,165,25,0.15151515151515152,6,5
Morgan,2020-09-18,142,19,0.13380281690140844,4,4
Union,2020-09-18,132,20,0.15151515151515152,3,3
Iroquois,2020-09-18,132,18,0.13636363636363635,3,3
Lee,2020-09-18,105,1,0.009523809523809525,2,1
McLean,2020-09-18,96,11,0.11458333333333333,6,5
Boone,2020-09-18,95,16,0.16842105263157894,2,2
Whiteside,2020-09-18,91,11,0.12087912087912088,6,6
Greene,2020-09-18,87,2,0.022988505747126436,1,1
Jackson,2020-09-18,85,16,0.18823529411764706,3,3
Tazewell,2020-09-18,84,7,0.08333333333333333,8,7
Jersey,2020-09-18,82,8,0.0975609756097561,1,1
Perry,2020-09-18,79,11,0.13924050632911392,2,2
McDonough,2020-09-18,71,16,0.22535211267605634,4,4
Monroe,2020-09-18,71,11,0.15492957746478872,4,4
Christian,2020-09-18,71,5,0.07042253521126761,7,7
Adams,2020-09-18,66,6,0.09090909090909091,6,6
Cass,2020-09-18,64,11,0.171875,2,2
Kendall,2020-09-18,62,14,0.22580645161290322,3,3
Champaign,2020-09-18,60,5,0.08333333333333333,9,9
Jasper,2020-09-18,51,8,0.1568627450980392,2,2
Macoupin,2020-09-18,50,3,0.06,6,6
Ford,2020-09-18,49,3,0.061224489795918366,4,4
Cumberland,2020-09-18,35,3,0.08571428571428572,1,1
Edgar,2020-09-18,32,2,0.0625,1,1
Moultrie,2020-09-18,32,3,0.09375,1,1
Grundy,2020-09-18,31,3,0.0967741935483871,1,1
Carroll,2020-09-18,27,2,0.07407407407407407,1,1
Shelby,2020-09-18,23,0,0.0,4,3
Bureau,2020-09-18,18,1,0.05555555555555555,2,2
Montgomery,2020-09-18,17,2,0.11764705882352941,3,3
Bond,2020-09-18,17,0,0.0,2,2
Knox,2020-09-18,16,2,0.125,2,2
Mercer,2020-09-18,16,3,0.1875,1,1
Randolph,2020-09-18,14,0,0.0,4,3
Jo Daviess,2020-09-18,14,0,0.0,3,2
Livingston,2020-09-18,12,1,0.08333333333333333,3,3
Ogle,2020-09-18,10,0,0.0,2,2
Logan,2020-09-18,10,0,0.0,3,2
Woodford,2020-09-18,9,1,0.1111111111111111,2,2
Marion,2020-09-18,9,0,0.0,3,3
Effingham,2020-09-18,9,0,0.0,3,3
Wabash,2020-09-18,9,0,0.0,3,3
Richland,2020-09-18,8,0,0.0,1,1
Clark,2020-09-18,8,0,0.0,1,1
Wayne,2020-09-18,8,1,0.125,2,2
Vermilion,2020-09-18,8,0,0.0,2,2
White,2020-09-18,7,0,0.0,2,2
Scott,2020-09-18,7,0,0.0,1,1
Fayette,2020-09-18,4,0,0.0,2,2
Franklin,2020-09-18,2,0,0.0,1,1
Hardin,2020-09-18,2,0,0.0,1,1
Warren,2020-09-18,2,0,0.0,1,1
Stephenson,2020-09-18,2,0,0.0,1,1
Lawrence,2020-09-18,2,0,0.0,1,1
Douglas,2020-09-18,2,0,0.0,1,1
Pike,2020-09-18,2,0,0.0,1,1
