County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2021-02-05,23304,3253,0.1395897699965671,562,304,258,402
DuPage,2021-02-05,5162,651,0.1261139093374661,161,80,81,102
Lake,2021-02-05,3866,492,0.1272633212622866,125,74,51,96
Will,2021-02-05,3136,331,0.1055484693877551,81,50,31,49
Kane,2021-02-05,2821,333,0.11804324707550513,102,74,28,67
Madison,2021-02-05,2160,252,0.11666666666666667,63,31,32,46
St. Clair,2021-02-05,2043,242,0.11845325501713166,55,17,38,52
Winnebago,2021-02-05,1858,225,0.12109795479009688,55,34,21,47
Peoria,2021-02-05,1343,148,0.11020104244229337,32,18,14,27
Sangamon,2021-02-05,1274,139,0.10910518053375197,33,29,4,30
Rock Island,2021-02-05,1253,174,0.13886671987230648,29,22,7,24
Kankakee,2021-02-05,1230,74,0.06016260162601626,23,12,11,18
McHenry,2021-02-05,1181,156,0.13209144792548688,42,23,19,35
Tazewell,2021-02-05,1135,133,0.1171806167400881,37,19,18,34
LaSalle,2021-02-05,1022,176,0.17221135029354206,22,13,9,16
McLean,2021-02-05,766,115,0.15013054830287206,24,12,12,21
Clinton,2021-02-05,737,55,0.07462686567164178,19,12,7,17
Adams,2021-02-05,691,84,0.12156295224312591,16,5,11,15
Champaign,2021-02-05,662,54,0.08157099697885196,34,24,10,27
DeKalb,2021-02-05,612,66,0.10784313725490197,15,9,6,14
Knox,2021-02-05,588,103,0.17517006802721088,13,1,12,12
Marion,2021-02-05,586,53,0.09044368600682594,12,1,11,11
Macon,2021-02-05,578,66,0.11418685121107267,16,8,8,11
Coles,2021-02-05,575,68,0.11826086956521739,19,16,3,18
Whiteside,2021-02-05,537,91,0.16945996275605213,16,7,9,14
Livingston,2021-02-05,476,45,0.09453781512605042,12,6,6,10
Williamson,2021-02-05,456,60,0.13157894736842105,15,4,11,14
Macoupin,2021-02-05,431,47,0.10904872389791183,18,12,6,14
Morgan,2021-02-05,431,65,0.15081206496519722,10,8,2,9
Jefferson,2021-02-05,365,59,0.16164383561643836,10,4,6,9
Randolph,2021-02-05,354,37,0.10451977401129943,13,5,8,9
Bureau,2021-02-05,350,51,0.1457142857142857,6,2,4,6
Monroe,2021-02-05,333,51,0.15315315315315314,8,4,4,8
Vermilion,2021-02-05,328,46,0.1402439024390244,12,1,11,10
Boone,2021-02-05,321,49,0.1526479750778816,7,3,4,7
Woodford,2021-02-05,304,34,0.1118421052631579,8,3,5,7
Ford,2021-02-05,300,40,0.13333333333333333,10,7,3,8
Iroquois,2021-02-05,295,30,0.1016949152542373,10,6,4,10
Logan,2021-02-05,290,26,0.0896551724137931,9,6,3,7
Lee,2021-02-05,283,42,0.14840989399293286,7,2,5,6
Montgomery,2021-02-05,271,36,0.13284132841328414,8,2,6,8
Jackson,2021-02-05,265,40,0.1509433962264151,11,4,7,7
Christian,2021-02-05,260,43,0.16538461538461538,9,2,7,9
Franklin,2021-02-05,259,30,0.11583011583011583,7,3,4,7
Ogle,2021-02-05,259,36,0.138996138996139,9,6,3,9
Pike,2021-02-05,249,32,0.1285140562248996,4,1,3,4
Richland,2021-02-05,248,37,0.14919354838709678,9,4,5,8
Stephenson,2021-02-05,229,48,0.2096069868995633,8,2,6,7
Perry,2021-02-05,213,39,0.18309859154929578,6,2,4,6
Kendall,2021-02-05,201,33,0.16417910447761194,8,5,3,8
McDonough,2021-02-05,199,37,0.18592964824120603,10,9,1,10
Effingham,2021-02-05,198,35,0.17676767676767677,7,1,6,7
Grundy,2021-02-05,197,13,0.06598984771573604,4,2,2,4
Henry,2021-02-05,196,48,0.24489795918367346,8,0,8,8
Jersey,2021-02-05,187,32,0.1711229946524064,6,1,5,6
Clark,2021-02-05,185,31,0.16756756756756758,5,1,4,5
Union,2021-02-05,182,20,0.10989010989010989,9,4,5,8
Mason,2021-02-05,169,27,0.15976331360946747,6,6,0,6
Moultrie,2021-02-05,168,18,0.10714285714285714,7,2,5,7
Shelby,2021-02-05,164,14,0.08536585365853659,5,4,1,4
Fayette,2021-02-05,163,24,0.147239263803681,5,0,5,5
Carroll,2021-02-05,159,18,0.11320754716981132,3,1,2,3
Lawrence,2021-02-05,156,18,0.11538461538461539,2,1,1,2
Saline,2021-02-05,137,30,0.21897810218978103,6,4,2,5
Wayne,2021-02-05,133,20,0.15037593984962405,6,3,3,6
Fulton,2021-02-05,128,24,0.1875,5,0,5,5
Greene,2021-02-05,126,25,0.1984126984126984,1,0,1,1
White,2021-02-05,124,23,0.18548387096774194,5,2,3,3
Washington,2021-02-05,124,18,0.14516129032258066,3,2,1,3
Clay,2021-02-05,123,23,0.18699186991869918,3,1,2,3
Cass,2021-02-05,104,21,0.20192307692307693,4,3,1,4
Massac,2021-02-05,103,23,0.22330097087378642,1,0,1,1
Jo Daviess,2021-02-05,101,12,0.1188118811881188,5,4,1,4
Wabash,2021-02-05,100,6,0.06,2,1,1,2
Bond,2021-02-05,99,14,0.1414141414141414,5,1,4,4
Edgar,2021-02-05,97,34,0.35051546391752575,4,1,3,4
Menard,2021-02-05,94,9,0.09574468085106383,1,1,0,1
De Witt,2021-02-05,93,18,0.1935483870967742,1,0,1,1
Jasper,2021-02-05,76,10,0.13157894736842105,3,3,0,2
Marshall,2021-02-05,75,0,0.0,1,0,1,1
Crawford,2021-02-05,74,18,0.24324324324324326,3,0,3,3
Stark,2021-02-05,72,14,0.19444444444444445,1,0,1,1
Mercer,2021-02-05,72,18,0.25,2,1,1,2
Warren,2021-02-05,70,21,0.3,5,2,3,3
Cumberland,2021-02-05,62,15,0.24193548387096775,3,1,2,2
Brown,2021-02-05,52,9,0.17307692307692307,1,0,1,1
Schuyler,2021-02-05,42,13,0.30952380952380953,1,0,1,1
Douglas,2021-02-05,39,6,0.15384615384615385,5,3,2,4
Hancock,2021-02-05,35,13,0.37142857142857144,2,1,1,2
Hamilton,2021-02-05,35,4,0.11428571428571428,1,0,1,1
Piatt,2021-02-05,18,8,0.4444444444444444,2,1,1,2
Henderson,2021-02-05,16,5,0.3125,1,0,1,1
Scott,2021-02-05,9,0,0.0,2,1,1,2
Johnson,2021-02-05,7,4,0.5714285714285714,1,0,1,1
Calhoun,2021-02-05,2,0,0.0,1,1,0,1
