County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2020-10-02,14318,2390,0.16692275457466127,330,113,217,307
DuPage,2020-10-02,2383,433,0.18170373478808224,83,41,42,73
Lake,2020-10-02,2172,336,0.15469613259668508,66,44,22,61
Kane,2020-10-02,1217,189,0.1552999178307313,54,40,14,51
Will,2020-10-02,1137,187,0.1644678979771328,51,37,14,38
St. Clair,2020-10-02,851,116,0.136310223266745,32,3,29,31
Madison,2020-10-02,753,104,0.13811420982735723,29,14,15,24
Winnebago,2020-10-02,606,104,0.1716171617161716,20,15,5,19
Kankakee,2020-10-02,540,46,0.08518518518518518,15,9,6,14
McHenry,2020-10-02,514,92,0.17898832684824903,15,13,2,14
Rock Island,2020-10-02,428,64,0.14953271028037382,15,8,7,14
LaSalle,2020-10-02,293,43,0.14675767918088736,9,6,3,9
Peoria,2020-10-02,279,37,0.13261648745519714,14,8,6,13
Sangamon,2020-10-02,255,32,0.12549019607843137,11,5,6,11
Macon,2020-10-02,242,33,0.13636363636363635,8,2,6,7
Williamson,2020-10-02,226,32,0.1415929203539823,6,1,5,6
Clinton,2020-10-02,209,16,0.07655502392344497,8,6,2,7
Coles,2020-10-02,206,25,0.12135922330097088,6,5,1,5
Jefferson,2020-10-02,181,36,0.19889502762430938,5,5,0,5
DeKalb,2020-10-02,178,26,0.14606741573033707,8,3,5,7
Lee,2020-10-02,156,1,0.00641025641025641,3,3,0,2
Morgan,2020-10-02,154,22,0.14285714285714285,5,2,3,5
Tazewell,2020-10-02,134,14,0.1044776119402985,11,4,7,10
Union,2020-10-02,132,20,0.15151515151515152,3,1,2,3
Iroquois,2020-10-02,132,18,0.13636363636363635,3,3,0,3
Christian,2020-10-02,131,6,0.04580152671755725,8,1,7,8
McLean,2020-10-02,110,12,0.10909090909090909,10,3,7,9
Adams,2020-10-02,102,5,0.049019607843137254,6,1,5,6
Monroe,2020-10-02,101,12,0.1188118811881188,4,2,2,4
Jersey,2020-10-02,96,12,0.125,1,0,1,1
Boone,2020-10-02,95,16,0.16842105263157894,2,2,0,2
Whiteside,2020-10-02,93,11,0.11827956989247312,6,2,4,6
Greene,2020-10-02,91,13,0.14285714285714285,1,0,1,1
Champaign,2020-10-02,87,7,0.08045977011494253,12,7,5,11
Richland,2020-10-02,84,5,0.05952380952380952,3,0,3,3
Perry,2020-10-02,79,11,0.13924050632911392,2,0,2,2
Jackson,2020-10-02,76,16,0.21052631578947367,3,2,1,3
McDonough,2020-10-02,71,16,0.22535211267605634,4,3,1,4
Kendall,2020-10-02,66,14,0.21212121212121213,4,3,1,4
Cass,2020-10-02,65,11,0.16923076923076924,2,1,1,2
Jasper,2020-10-02,56,8,0.14285714285714285,2,1,1,2
Ford,2020-10-02,53,3,0.05660377358490566,5,3,2,5
Macoupin,2020-10-02,53,3,0.05660377358490566,7,2,5,7
Fayette,2020-10-02,53,2,0.03773584905660377,2,1,1,2
Shelby,2020-10-02,48,0,0.0,4,1,3,3
Woodford,2020-10-02,40,2,0.05,3,0,3,3
Cumberland,2020-10-02,35,3,0.08571428571428572,1,0,1,1
Moultrie,2020-10-02,34,3,0.08823529411764706,1,0,1,1
Edgar,2020-10-02,33,6,0.18181818181818182,1,0,1,1
Bond,2020-10-02,32,2,0.0625,2,0,2,2
Carroll,2020-10-02,31,3,0.0967741935483871,2,0,2,2
Grundy,2020-10-02,31,3,0.0967741935483871,1,1,0,1
Knox,2020-10-02,30,2,0.06666666666666667,2,1,1,2
Wabash,2020-10-02,26,0,0.0,3,0,3,3
Clark,2020-10-02,26,0,0.0,3,0,3,3
Clay,2020-10-02,19,0,0.0,1,0,1,1
Bureau,2020-10-02,18,1,0.05555555555555555,2,0,2,2
Montgomery,2020-10-02,17,3,0.17647058823529413,3,1,2,3
Ogle,2020-10-02,17,0,0.0,3,1,2,3
Randolph,2020-10-02,16,0,0.0,4,1,3,3
Mercer,2020-10-02,16,3,0.1875,1,0,1,1
Livingston,2020-10-02,15,1,0.06666666666666667,3,0,3,3
Marion,2020-10-02,14,0,0.0,5,0,5,5
Jo Daviess,2020-10-02,14,0,0.0,3,1,2,2
Warren,2020-10-02,11,0,0.0,2,0,2,2
Vermilion,2020-10-02,10,0,0.0,3,0,3,3
Wayne,2020-10-02,10,1,0.1,3,2,1,3
White,2020-10-02,10,0,0.0,2,0,2,2
Effingham,2020-10-02,9,0,0.0,3,0,3,3
Scott,2020-10-02,7,0,0.0,1,1,0,1
Logan,2020-10-02,6,0,0.0,2,1,1,2
Franklin,2020-10-02,4,0,0.0,2,0,2,2
Saline,2020-10-02,3,0,0.0,1,0,1,1
Hardin,2020-10-02,2,0,0.0,1,0,1,1
De Witt,2020-10-02,2,0,0.0,1,0,1,1
Pike,2020-10-02,2,0,0.0,1,0,1,1
Stephenson,2020-10-02,2,0,0.0,1,1,0,1
Lawrence,2020-10-02,2,0,0.0,1,0,1,1
Douglas,2020-10-02,2,0,0.0,1,0,1,1
