County,confirmed_cases,deaths,% deaths,num of facilities
Cook,14493,2408,0.1661491754640171,349
DuPage,2445,443,0.18118609406952965,93
Lake,2214,338,0.15266485998193316,72
Will,1258,197,0.15659777424483307,54
Kane,1250,190,0.152,62
St. Clair,879,125,0.1422070534698521,35
Madison,797,108,0.1355081555834379,34
Winnebago,653,104,0.15926493108728942,24
McHenry,521,92,0.1765834932821497,17
Rock Island,453,67,0.1479028697571744,15
Kankakee,550,47,0.08545454545454545,17
LaSalle,323,44,0.13622291021671826,10
Peoria,342,40,0.11695906432748537,18
Williamson,238,39,0.1638655462184874,8
Jefferson,227,36,0.15859030837004406,5
Sangamon,317,36,0.11356466876971609,12
Macon,254,34,0.13385826771653545,9
Coles,227,30,0.13215859030837004,7
DeKalb,194,28,0.14432989690721648,8
Tazewell,206,27,0.13106796116504854,12
Morgan,156,22,0.14102564102564102,5
Monroe,146,22,0.1506849315068493,4
Union,132,20,0.15151515151515152,3
Iroquois,132,18,0.13636363636363635,3
Jersey,99,17,0.1717171717171717,1
McDonough,73,16,0.2191780821917808,5
Jackson,76,16,0.21052631578947367,3
McLean,183,16,0.08743169398907104,12
Clinton,222,16,0.07207207207207207,9
Boone,95,16,0.16842105263157894,2
Christian,156,15,0.09615384615384616,8
Greene,100,14,0.14,1
Kendall,71,14,0.19718309859154928,5
Perry,79,12,0.1518987341772152,2
Whiteside,105,11,0.10476190476190476,7
Cass,66,11,0.16666666666666666,2
Fayette,84,10,0.11904761904761904,3
Champaign,94,10,0.10638297872340426,13
Jasper,56,8,0.14285714285714285,2
Adams,134,8,0.05970149253731343,9
Richland,114,7,0.06140350877192982,4
Edgar,33,6,0.18181818181818182,1
Shelby,100,5,0.05,5
Clay,55,5,0.09090909090909091,1
Mercer,16,4,0.25,1
Woodford,42,4,0.09523809523809523,3
Ford,81,4,0.04938271604938271,6
Carroll,82,4,0.04878048780487805,2
Bond,40,4,0.1,2
Lawrence,67,4,0.05970149253731343,2
Moultrie,36,3,0.08333333333333333,2
Cumberland,35,3,0.08571428571428572,1
Grundy,31,3,0.0967741935483871,1
Knox,74,3,0.04054054054054054,4
Montgomery,17,3,0.17647058823529413,3
Macoupin,55,3,0.05454545454545454,7
Warren,12,2,0.16666666666666666,2
De Witt,49,1,0.02040816326530612,1
Clark,55,1,0.01818181818181818,3
Wayne,40,1,0.025,4
Bureau,19,1,0.05263157894736842,2
Wabash,31,1,0.03225806451612903,2
Marion,18,1,0.05555555555555555,6
Saline,21,1,0.047619047619047616,2
Lee,125,1,0.008,2
Pike,27,1,0.037037037037037035,2
Livingston,29,1,0.034482758620689655,3
Jo Daviess,21,1,0.047619047619047616,3
Brown,4,0,0.0,1
Logan,12,0,0.0,4
Ogle,27,0,0.0,3
White,22,0,0.0,2
Effingham,9,0,0.0,3
Scott,7,0,0.0,1
Vermilion,26,0,0.0,4
Crawford,2,0,0.0,1
Franklin,24,0,0.0,4
Stephenson,11,0,0.0,2
Mason,6,0,0.0,1
Douglas,7,0,0.0,2
Randolph,21,0,0.0,7
