County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Cook,2020-08-07,13863,2333,0.16828969198586163,287,286
DuPage,2020-08-07,2293,416,0.1814217182730048,67,65
Lake,2020-08-07,2016,307,0.15228174603174602,53,53
Kane,2020-08-07,1068,177,0.16573033707865167,40,39
Will,2020-08-07,886,166,0.1873589164785553,35,29
St. Clair,2020-08-07,610,104,0.17049180327868851,19,19
Winnebago,2020-08-07,568,93,0.1637323943661972,18,18
McHenry,2020-08-07,497,92,0.1851106639839034,14,13
Kankakee,2020-08-07,363,41,0.11294765840220386,13,13
Madison,2020-08-07,349,61,0.17478510028653296,19,17
Rock Island,2020-08-07,263,31,0.11787072243346007,14,14
Clinton,2020-08-07,185,16,0.08648648648648649,4,4
Peoria,2020-08-07,161,27,0.16770186335403728,8,8
Sangamon,2020-08-07,159,28,0.1761006289308176,7,7
DeKalb,2020-08-07,146,22,0.1506849315068493,4,4
LaSalle,2020-08-07,144,16,0.1111111111111111,6,6
Union,2020-08-07,132,20,0.15151515151515152,3,3
Iroquois,2020-08-07,126,9,0.07142857142857142,3,3
Macon,2020-08-07,113,22,0.19469026548672566,8,7
Coles,2020-08-07,109,19,0.1743119266055046,4,4
Boone,2020-08-07,95,16,0.16842105263157894,2,2
Jefferson,2020-08-07,81,18,0.2222222222222222,3,3
Lee,2020-08-07,76,1,0.013157894736842105,1,1
Morgan,2020-08-07,74,5,0.06756756756756757,2,2
Whiteside,2020-08-07,72,10,0.1388888888888889,6,6
McDonough,2020-08-07,69,16,0.2318840579710145,3,3
Monroe,2020-08-07,67,11,0.16417910447761194,4,4
McLean,2020-08-07,63,11,0.1746031746031746,2,2
Kendall,2020-08-07,62,14,0.22580645161290322,3,3
Cass,2020-08-07,61,11,0.18032786885245902,2,2
Jackson,2020-08-07,61,15,0.2459016393442623,2,2
Champaign,2020-08-07,51,5,0.09803921568627451,6,6
Jasper,2020-08-07,49,8,0.16326530612244897,1,1
Grundy,2020-08-07,34,3,0.08823529411764706,2,2
Cumberland,2020-08-07,34,2,0.058823529411764705,1,1
Tazewell,2020-08-07,31,6,0.1935483870967742,4,3
Adams,2020-08-07,24,2,0.08333333333333333,3,3
Perry,2020-08-07,21,0,0.0,1,1
Carroll,2020-08-07,18,4,0.2222222222222222,1,1
Montgomery,2020-08-07,15,2,0.13333333333333333,2,2
Jersey,2020-08-07,14,0,0.0,1,1
Mercer,2020-08-07,12,1,0.08333333333333333,1,1
Macoupin,2020-08-07,11,0,0.0,3,3
Ford,2020-08-07,11,0,0.0,3,3
Shelby,2020-08-07,10,0,0.0,3,3
Ogle,2020-08-07,9,0,0.0,2,2
Randolph,2020-08-07,8,0,0.0,3,2
Wayne,2020-08-07,8,1,0.125,2,2
Clark,2020-08-07,7,0,0.0,1,1
Scott,2020-08-07,6,0,0.0,1,1
Vermilion,2020-08-07,4,0,0.0,1,1
Bond,2020-08-07,4,0,0.0,1,1
Logan,2020-08-07,3,0,0.0,1,1
Bureau,2020-08-07,3,0,0.0,1,1
Stephenson,2020-08-07,2,0,0.0,1,1
Warren,2020-08-07,2,0,0.0,1,1
Jo Daviess,2020-08-07,2,0,0.0,1,1
Christian,2020-08-07,2,0,0.0,1,1
Williamson,2020-08-07,2,0,0.0,1,1
Woodford,2020-08-07,2,0,0.0,1,1
