County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Cook,2020-10-16,14493,2408,0.1661491754640171,349,313
DuPage,2020-10-16,2445,443,0.18118609406952965,93,78
Lake,2020-10-16,2214,338,0.15266485998193316,72,67
Will,2020-10-16,1258,197,0.15659777424483307,54,38
Kane,2020-10-16,1250,190,0.152,62,56
St. Clair,2020-10-16,879,125,0.1422070534698521,35,34
Madison,2020-10-16,797,108,0.1355081555834379,34,27
Winnebago,2020-10-16,653,104,0.15926493108728942,24,22
Kankakee,2020-10-16,550,47,0.08545454545454545,17,15
McHenry,2020-10-16,521,92,0.1765834932821497,17,16
Rock Island,2020-10-16,453,67,0.1479028697571744,15,14
Peoria,2020-10-16,342,40,0.11695906432748537,18,17
LaSalle,2020-10-16,323,44,0.13622291021671826,10,10
Sangamon,2020-10-16,317,36,0.11356466876971609,12,12
Macon,2020-10-16,254,34,0.13385826771653545,9,8
Williamson,2020-10-16,238,39,0.1638655462184874,8,8
Jefferson,2020-10-16,227,36,0.15859030837004406,5,5
Coles,2020-10-16,227,30,0.13215859030837004,7,6
Clinton,2020-10-16,222,16,0.07207207207207207,9,8
Tazewell,2020-10-16,206,27,0.13106796116504854,12,11
DeKalb,2020-10-16,194,28,0.14432989690721648,8,7
McLean,2020-10-16,183,16,0.08743169398907104,12,11
Morgan,2020-10-16,156,22,0.14102564102564102,5,5
Christian,2020-10-16,156,15,0.09615384615384616,8,8
Monroe,2020-10-16,146,22,0.1506849315068493,4,4
Adams,2020-10-16,134,8,0.05970149253731343,9,9
Union,2020-10-16,132,20,0.15151515151515152,3,3
Iroquois,2020-10-16,132,18,0.13636363636363635,3,3
Lee,2020-10-16,125,1,0.008,2,1
Richland,2020-10-16,114,7,0.06140350877192982,4,4
Whiteside,2020-10-16,105,11,0.10476190476190476,7,7
Greene,2020-10-16,100,14,0.14,1,1
Shelby,2020-10-16,100,5,0.05,5,4
Jersey,2020-10-16,99,17,0.1717171717171717,1,1
Boone,2020-10-16,95,16,0.16842105263157894,2,2
Champaign,2020-10-16,94,10,0.10638297872340426,13,12
Fayette,2020-10-16,84,10,0.11904761904761904,3,3
Carroll,2020-10-16,82,4,0.04878048780487805,2,2
Ford,2020-10-16,81,4,0.04938271604938271,6,5
Perry,2020-10-16,79,12,0.1518987341772152,2,2
Jackson,2020-10-16,76,16,0.21052631578947367,3,3
Knox,2020-10-16,74,3,0.04054054054054054,4,4
McDonough,2020-10-16,73,16,0.2191780821917808,5,5
Kendall,2020-10-16,71,14,0.19718309859154928,5,5
Lawrence,2020-10-16,67,4,0.05970149253731343,2,2
Cass,2020-10-16,66,11,0.16666666666666666,2,2
Jasper,2020-10-16,56,8,0.14285714285714285,2,2
Clay,2020-10-16,55,5,0.09090909090909091,1,1
Clark,2020-10-16,55,1,0.01818181818181818,3,3
Macoupin,2020-10-16,55,3,0.05454545454545454,7,7
De Witt,2020-10-16,49,1,0.02040816326530612,1,1
Woodford,2020-10-16,42,4,0.09523809523809523,3,3
Bond,2020-10-16,40,4,0.1,2,2
Wayne,2020-10-16,40,1,0.025,4,4
Moultrie,2020-10-16,36,3,0.08333333333333333,2,2
Cumberland,2020-10-16,35,3,0.08571428571428572,1,1
Edgar,2020-10-16,33,6,0.18181818181818182,1,1
Wabash,2020-10-16,31,1,0.03225806451612903,2,2
Grundy,2020-10-16,31,3,0.0967741935483871,1,1
Livingston,2020-10-16,29,1,0.034482758620689655,3,3
Pike,2020-10-16,27,1,0.037037037037037035,2,2
Ogle,2020-10-16,27,0,0.0,3,3
Vermilion,2020-10-16,26,0,0.0,4,4
Franklin,2020-10-16,24,0,0.0,4,4
White,2020-10-16,22,0,0.0,2,2
Randolph,2020-10-16,21,0,0.0,7,4
Saline,2020-10-16,21,1,0.047619047619047616,2,2
Jo Daviess,2020-10-16,21,1,0.047619047619047616,3,2
Bureau,2020-10-16,19,1,0.05263157894736842,2,2
Marion,2020-10-16,18,1,0.05555555555555555,6,6
Montgomery,2020-10-16,17,3,0.17647058823529413,3,3
Mercer,2020-10-16,16,4,0.25,1,1
Warren,2020-10-16,12,2,0.16666666666666666,2,2
Logan,2020-10-16,12,0,0.0,4,3
Stephenson,2020-10-16,11,0,0.0,2,1
Effingham,2020-10-16,9,0,0.0,3,3
Scott,2020-10-16,7,0,0.0,1,1
Douglas,2020-10-16,7,0,0.0,2,2
Mason,2020-10-16,6,0,0.0,1,1
Brown,2020-10-16,4,0,0.0,1,1
Crawford,2020-10-16,2,0,0.0,1,1
