County,confirmed_cases,deaths,% deaths,num of facilities
Cook,14740,2432,0.1649932157394844,375
DuPage,2525,444,0.17584158415841583,98
Lake,2245,338,0.15055679287305124,77
Will,1318,201,0.15250379362670713,56
Kane,1307,193,0.1476664116296863,67
St. Clair,896,128,0.14285714285714285,36
Madison,835,109,0.13053892215568863,37
Winnebago,679,105,0.15463917525773196,25
McHenry,536,92,0.17164179104477612,19
Rock Island,459,68,0.14814814814814814,16
Peoria,454,48,0.10572687224669604,20
Kankakee,550,47,0.08545454545454545,17
LaSalle,372,47,0.12634408602150538,11
Williamson,240,41,0.17083333333333334,9
Jefferson,232,39,0.16810344827586207,5
Sangamon,337,36,0.10682492581602374,15
Macon,259,34,0.13127413127413126,9
Tazewell,226,30,0.13274336283185842,13
Coles,237,30,0.12658227848101267,8
DeKalb,198,28,0.1414141414141414,9
Monroe,153,24,0.1568627450980392,4
Morgan,155,24,0.15483870967741936,5
Union,132,20,0.15151515151515152,3
Clinton,265,18,0.06792452830188679,10
Iroquois,132,18,0.13636363636363635,3
Christian,159,18,0.11320754716981132,8
Jersey,100,17,0.17,1
Richland,145,17,0.11724137931034483,5
Boone,100,17,0.17,3
McDonough,97,17,0.17525773195876287,7
Jackson,109,16,0.14678899082568808,4
McLean,189,16,0.08465608465608465,13
Kendall,72,14,0.19444444444444445,5
Fayette,111,14,0.12612612612612611,3
Greene,100,14,0.14,1
Whiteside,112,12,0.10714285714285714,7
Perry,79,12,0.1518987341772152,2
Clay,55,11,0.2,1
Cass,66,11,0.16666666666666666,2
Adams,159,10,0.06289308176100629,10
Champaign,115,10,0.08695652173913043,16
Jasper,57,8,0.14035087719298245,2
Shelby,122,7,0.05737704918032787,5
Clark,65,7,0.1076923076923077,3
Edgar,34,6,0.17647058823529413,1
Ford,99,6,0.06060606060606061,6
Woodford,67,5,0.07462686567164178,3
Lawrence,114,5,0.043859649122807015,2
Jo Daviess,28,5,0.17857142857142858,3
Knox,122,4,0.03278688524590164,5
Moultrie,42,4,0.09523809523809523,2
Carroll,87,4,0.04597701149425287,2
Bond,40,4,0.1,2
Mercer,16,4,0.25,1
Cumberland,35,3,0.08571428571428572,1
Grundy,31,3,0.0967741935483871,1
Pike,51,3,0.058823529411764705,2
Macoupin,60,3,0.05,8
Montgomery,17,3,0.17647058823529413,3
Wayne,41,3,0.07317073170731707,4
Warren,12,2,0.16666666666666666,2
Marion,34,2,0.058823529411764705,6
Washington,2,1,0.5,1
De Witt,57,1,0.017543859649122806,1
Wabash,31,1,0.03225806451612903,2
Bureau,19,1,0.05263157894736842,2
Saline,28,1,0.03571428571428571,2
Hancock,3,1,0.3333333333333333,1
Franklin,43,1,0.023255813953488372,4
Livingston,29,1,0.034482758620689655,3
Ogle,30,1,0.03333333333333333,3
Lee,125,1,0.008,2
Fulton,5,0,0.0,1
Vermilion,31,0,0.0,4
Randolph,34,0,0.0,7
Effingham,9,0,0.0,3
Stephenson,17,0,0.0,3
Douglas,12,0,0.0,2
White,34,0,0.0,2
Crawford,2,0,0.0,1
Logan,12,0,0.0,4
Mason,12,0,0.0,2
Brown,6,0,0.0,1
Scott,7,0,0.0,1
