County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2020-11-27,16613,2547,0.15331367001745622,447,236,211,360
DuPage,2020-11-27,3377,499,0.1477642878294344,136,64,72,95
Lake,2020-11-27,2749,379,0.13786831575118225,108,58,50,91
Kane,2020-11-27,2057,244,0.11861934856587263,91,50,41,72
Will,2020-11-27,1899,234,0.12322274881516587,71,40,31,42
Madison,2020-11-27,1347,155,0.11507052709725316,51,23,28,39
St. Clair,2020-11-27,1084,141,0.13007380073800737,46,11,35,44
Winnebago,2020-11-27,900,115,0.12777777777777777,43,20,23,39
Kankakee,2020-11-27,770,47,0.06103896103896104,21,11,10,16
Rock Island,2020-11-27,697,71,0.10186513629842181,23,11,12,22
Peoria,2020-11-27,686,85,0.1239067055393586,24,11,13,21
LaSalle,2020-11-27,685,91,0.13284671532846715,16,8,8,14
Sangamon,2020-11-27,680,55,0.08088235294117647,25,8,17,23
McHenry,2020-11-27,631,101,0.1600633914421553,32,17,15,28
Macon,2020-11-27,517,54,0.10444874274661509,11,4,7,9
Tazewell,2020-11-27,505,46,0.09108910891089109,27,9,18,25
Clinton,2020-11-27,468,45,0.09615384615384616,13,6,7,11
Coles,2020-11-27,437,52,0.11899313501144165,11,6,5,10
Whiteside,2020-11-27,420,56,0.13333333333333333,13,3,10,13
Adams,2020-11-27,338,23,0.06804733727810651,11,3,8,11
McLean,2020-11-27,329,29,0.08814589665653495,18,7,11,16
Knox,2020-11-27,313,39,0.12460063897763578,11,1,10,10
DeKalb,2020-11-27,298,28,0.09395973154362416,13,5,8,12
Marion,2020-11-27,297,17,0.05723905723905724,10,1,9,9
Champaign,2020-11-27,284,21,0.07394366197183098,26,11,15,21
Williamson,2020-11-27,274,43,0.15693430656934307,11,4,7,10
Jefferson,2020-11-27,269,46,0.17100371747211895,7,4,3,6
Boone,2020-11-27,254,18,0.07086614173228346,7,3,4,7
Ford,2020-11-27,237,28,0.11814345991561181,8,6,2,7
Monroe,2020-11-27,207,38,0.18357487922705315,5,2,3,5
Lee,2020-11-27,204,8,0.0392156862745098,5,2,3,4
Morgan,2020-11-27,200,27,0.135,7,3,4,6
Bureau,2020-11-27,197,11,0.05583756345177665,6,1,5,6
Iroquois,2020-11-27,194,18,0.09278350515463918,6,3,3,6
Pike,2020-11-27,178,13,0.07303370786516854,4,1,3,4
Christian,2020-11-27,170,22,0.12941176470588237,9,1,8,9
Ogle,2020-11-27,168,11,0.06547619047619048,8,3,5,8
Randolph,2020-11-27,154,8,0.05194805194805195,9,4,5,6
Shelby,2020-11-27,154,13,0.08441558441558442,5,3,2,4
McDonough,2020-11-27,153,33,0.21568627450980393,8,3,5,8
Vermilion,2020-11-27,151,13,0.08609271523178808,7,1,6,6
Jackson,2020-11-27,149,19,0.12751677852348994,7,2,5,6
Richland,2020-11-27,147,19,0.1292517006802721,5,0,5,5
Carroll,2020-11-27,145,17,0.11724137931034483,2,0,2,2
Jersey,2020-11-27,143,18,0.1258741258741259,4,1,3,4
Union,2020-11-27,138,20,0.14492753623188406,5,3,2,5
Mason,2020-11-27,137,13,0.0948905109489051,6,3,3,6
Franklin,2020-11-27,136,10,0.07352941176470588,6,1,5,6
Macoupin,2020-11-27,130,3,0.023076923076923078,14,6,8,12
Fayette,2020-11-27,125,16,0.128,4,1,3,4
Kendall,2020-11-27,124,19,0.1532258064516129,7,3,4,7
Woodford,2020-11-27,121,15,0.12396694214876033,7,1,6,7
Clark,2020-11-27,121,17,0.14049586776859505,4,1,3,4
Greene,2020-11-27,121,20,0.1652892561983471,1,0,1,1
Cass,2020-11-27,118,12,0.1016949152542373,3,1,2,3
Lawrence,2020-11-27,117,6,0.05128205128205128,2,0,2,2
Livingston,2020-11-27,106,2,0.018867924528301886,9,0,9,8
Wayne,2020-11-27,105,17,0.1619047619047619,4,2,2,4
Moultrie,2020-11-27,88,7,0.07954545454545454,5,1,4,5
Stephenson,2020-11-27,88,9,0.10227272727272728,4,1,3,3
Perry,2020-11-27,87,14,0.16091954022988506,4,1,3,4
Effingham,2020-11-27,86,5,0.05813953488372093,5,0,5,5
Jo Daviess,2020-11-27,84,12,0.14285714285714285,4,2,2,3
De Witt,2020-11-27,82,12,0.14634146341463414,1,0,1,1
Saline,2020-11-27,74,13,0.17567567567567569,2,0,2,2
Clay,2020-11-27,69,13,0.18840579710144928,3,0,3,3
White,2020-11-27,64,7,0.109375,2,0,2,2
Edgar,2020-11-27,63,7,0.1111111111111111,2,0,2,2
Jasper,2020-11-27,61,8,0.13114754098360656,3,1,2,2
Grundy,2020-11-27,59,3,0.05084745762711865,3,1,2,3
Cumberland,2020-11-27,56,4,0.07142857142857142,2,0,2,2
Logan,2020-11-27,52,1,0.019230769230769232,6,2,4,4
Crawford,2020-11-27,50,1,0.02,2,0,2,2
Henry,2020-11-27,49,0,0.0,6,0,6,6
Montgomery,2020-11-27,41,4,0.0975609756097561,6,2,4,6
Bond,2020-11-27,41,4,0.0975609756097561,2,0,2,2
Warren,2020-11-27,36,4,0.1111111111111111,4,1,3,3
Wabash,2020-11-27,34,1,0.029411764705882353,2,1,1,2
Hancock,2020-11-27,33,2,0.06060606060606061,2,0,2,2
Menard,2020-11-27,18,0,0.0,1,0,1,1
Brown,2020-11-27,18,2,0.1111111111111111,1,0,1,1
Mercer,2020-11-27,16,4,0.25,1,1,0,1
Fulton,2020-11-27,15,1,0.06666666666666667,3,0,3,3
Massac,2020-11-27,12,0,0.0,1,0,1,1
Douglas,2020-11-27,12,2,0.16666666666666666,2,0,2,2
Piatt,2020-11-27,11,5,0.45454545454545453,1,0,1,1
Scott,2020-11-27,7,0,0.0,1,1,0,1
Johnson,2020-11-27,7,1,0.14285714285714285,1,0,1,1
Stark,2020-11-27,4,0,0.0,1,0,1,1
Washington,2020-11-27,2,1,0.5,1,0,1,1
