County,confirmed_cases,deaths,% deaths,num of facilities
Cook,14067,2373,0.1686926850074643,304
DuPage,2343,428,0.1826717883055911,75
Lake,2083,328,0.15746519443110898,58
Kane,1166,183,0.1569468267581475,48
Will,980,175,0.17857142857142858,47
St. Clair,729,110,0.15089163237311384,27
Winnebago,610,101,0.16557377049180327,16
McHenry,518,92,0.1776061776061776,16
Madison,653,90,0.13782542113323124,25
Rock Island,387,57,0.14728682170542637,14
Kankakee,524,42,0.08015267175572519,15
LaSalle,288,40,0.1388888888888889,9
Jefferson,180,36,0.2,5
Peoria,230,33,0.14347826086956522,11
Sangamon,205,32,0.15609756097560976,9
DeKalb,154,25,0.16233766233766234,6
Macon,174,24,0.13793103448275862,7
Coles,160,20,0.125,6
Union,132,20,0.15151515151515152,3
Morgan,139,19,0.1366906474820144,3
Iroquois,133,19,0.14285714285714285,3
Clinton,201,16,0.07960199004975124,6
McDonough,71,16,0.22535211267605634,4
Jackson,82,16,0.1951219512195122,3
Boone,95,16,0.16842105263157894,2
Kendall,62,14,0.22580645161290322,3
Williamson,163,13,0.07975460122699386,6
Perry,78,11,0.14102564102564102,2
McLean,78,11,0.14102564102564102,4
Monroe,68,11,0.16176470588235295,4
Cass,63,11,0.1746031746031746,2
Whiteside,87,11,0.12643678160919541,6
Jasper,51,8,0.1568627450980392,2
Tazewell,92,7,0.07608695652173914,9
Jersey,69,6,0.08695652173913043,1
Adams,60,6,0.1,5
Champaign,53,5,0.09433962264150944,7
Ford,49,3,0.061224489795918366,4
Grundy,31,3,0.0967741935483871,1
Cumberland,34,3,0.08823529411764706,1
Christian,52,3,0.057692307692307696,7
Mercer,14,3,0.21428571428571427,1
Moultrie,31,3,0.0967741935483871,1
Edgar,28,2,0.07142857142857142,1
Knox,15,2,0.13333333333333333,2
Macoupin,41,2,0.04878048780487805,5
Montgomery,17,2,0.11764705882352941,3
Carroll,26,2,0.07692307692307693,1
Wayne,8,1,0.125,2
Woodford,9,1,0.1111111111111111,2
Lee,104,1,0.009615384615384616,2
Marion,28,0,0.0,3
Franklin,2,0,0.0,1
Bureau,18,0,0.0,2
Clark,8,0,0.0,1
De Witt,2,0,0.0,1
Douglas,2,0,0.0,1
White,6,0,0.0,2
Effingham,9,0,0.0,3
Warren,2,0,0.0,1
Wabash,9,0,0.0,3
Vermilion,8,0,0.0,2
Fayette,2,0,0.0,1
Stephenson,2,0,0.0,1
Logan,7,0,0.0,2
Hardin,2,0,0.0,1
Shelby,11,0,0.0,3
Scott,7,0,0.0,1
Jo Daviess,14,0,0.0,3
Lawrence,2,0,0.0,1
Richland,8,0,0.0,1
Randolph,12,0,0.0,3
Pike,2,0,0.0,1
Bond,16,0,0.0,2
Ogle,10,0,0.0,2
Livingston,11,0,0.0,3
