County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2020-12-11,18483,2687,0.14537683276524374,494,246,248,382
DuPage,2020-12-11,4224,549,0.1299715909090909,146,69,77,98
Lake,2020-12-11,3059,408,0.13337692056227526,114,61,53,93
Kane,2020-12-11,2324,272,0.11703958691910499,93,51,42,72
Will,2020-12-11,2289,250,0.109217999126256,75,40,35,46
Madison,2020-12-11,1622,192,0.11837237977805179,57,27,30,44
Winnebago,2020-12-11,1512,151,0.09986772486772487,51,22,29,46
St. Clair,2020-12-11,1363,150,0.11005135730007337,49,12,37,47
Kankakee,2020-12-11,924,56,0.06060606060606061,23,12,11,18
Rock Island,2020-12-11,911,102,0.1119648737650933,27,11,16,26
Peoria,2020-12-11,874,94,0.10755148741418764,28,12,16,24
Sangamon,2020-12-11,852,72,0.08450704225352113,29,10,19,27
LaSalle,2020-12-11,831,122,0.14681107099879662,19,9,10,15
McHenry,2020-12-11,720,114,0.15833333333333333,33,17,16,28
Tazewell,2020-12-11,598,66,0.11036789297658862,32,11,21,29
Clinton,2020-12-11,594,48,0.08080808080808081,16,7,9,14
Macon,2020-12-11,535,59,0.1102803738317757,11,4,7,9
Marion,2020-12-11,511,37,0.07240704500978473,10,1,9,9
Whiteside,2020-12-11,478,78,0.16317991631799164,14,3,11,14
Coles,2020-12-11,453,52,0.11479028697571744,12,7,5,11
McLean,2020-12-11,445,36,0.08089887640449438,19,8,11,17
DeKalb,2020-12-11,416,32,0.07692307692307693,14,5,9,13
Champaign,2020-12-11,399,32,0.08020050125313283,29,12,17,23
Knox,2020-12-11,391,69,0.17647058823529413,12,1,11,11
Adams,2020-12-11,380,35,0.09210526315789473,12,3,9,12
Williamson,2020-12-11,323,46,0.14241486068111456,13,4,9,12
Boone,2020-12-11,295,28,0.09491525423728814,7,3,4,7
Jefferson,2020-12-11,276,46,0.16666666666666666,8,4,4,7
Morgan,2020-12-11,273,38,0.1391941391941392,9,4,5,8
Iroquois,2020-12-11,263,27,0.10266159695817491,8,3,5,8
Ford,2020-12-11,256,21,0.08203125,9,6,3,8
Monroe,2020-12-11,232,40,0.1724137931034483,6,2,4,6
Lee,2020-12-11,225,22,0.09777777777777778,6,2,4,5
Bureau,2020-12-11,221,26,0.11764705882352941,6,1,5,6
Randolph,2020-12-11,206,13,0.06310679611650485,11,4,7,8
Ogle,2020-12-11,193,23,0.11917098445595854,9,3,6,9
Pike,2020-12-11,191,19,0.09947643979057591,4,1,3,4
Christian,2020-12-11,186,35,0.1881720430107527,10,1,9,10
Jackson,2020-12-11,185,20,0.10810810810810811,9,2,7,7
Vermilion,2020-12-11,177,25,0.14124293785310735,8,1,7,7
Franklin,2020-12-11,175,18,0.10285714285714286,7,1,6,7
Perry,2020-12-11,169,22,0.1301775147928994,4,1,3,4
Mason,2020-12-11,167,21,0.12574850299401197,6,3,3,6
Macoupin,2020-12-11,166,12,0.07228915662650602,17,6,11,13
McDonough,2020-12-11,163,37,0.22699386503067484,9,4,5,9
Richland,2020-12-11,161,22,0.13664596273291926,6,0,6,6
Livingston,2020-12-11,159,20,0.12578616352201258,10,1,9,9
Shelby,2020-12-11,157,14,0.08917197452229299,5,3,2,4
Kendall,2020-12-11,152,27,0.17763157894736842,8,3,5,8
Moultrie,2020-12-11,148,10,0.06756756756756757,6,1,5,6
Carroll,2020-12-11,146,17,0.11643835616438356,2,0,2,2
Jersey,2020-12-11,145,18,0.12413793103448276,5,1,4,5
Effingham,2020-12-11,145,16,0.1103448275862069,6,0,6,6
Lawrence,2020-12-11,143,10,0.06993006993006994,2,0,2,2
Union,2020-12-11,138,20,0.14492753623188406,5,3,2,5
Woodford,2020-12-11,127,19,0.14960629921259844,7,1,6,7
Fayette,2020-12-11,127,17,0.13385826771653545,4,1,3,4
