County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Cook,2020-07-17,13396,2295,0.1713197969543147,286,286
DuPage,2020-07-17,2209,396,0.17926663648709823,59,59
Lake,2020-07-17,1668,284,0.17026378896882494,48,48
Kane,2020-07-17,1009,171,0.1694747274529237,37,37
Will,2020-07-17,826,155,0.18765133171912832,33,30
St. Clair,2020-07-17,578,99,0.17128027681660898,18,18
McHenry,2020-07-17,477,84,0.1761006289308176,14,13
Winnebago,2020-07-17,418,66,0.15789473684210525,17,17
Kankakee,2020-07-17,330,41,0.12424242424242424,12,12
Madison,2020-07-17,302,61,0.20198675496688742,14,14
Rock Island,2020-07-17,191,23,0.12041884816753927,11,11
Clinton,2020-07-17,183,17,0.09289617486338798,4,4
Sangamon,2020-07-17,148,28,0.1891891891891892,6,6
Peoria,2020-07-17,147,26,0.17687074829931973,7,7
Union,2020-07-17,130,18,0.13846153846153847,3,3
DeKalb,2020-07-17,123,15,0.12195121951219512,4,4
Macon,2020-07-17,104,22,0.21153846153846154,5,5
Boone,2020-07-17,93,14,0.15053763440860216,2,2
Coles,2020-07-17,90,16,0.17777777777777778,2,2
Lee,2020-07-17,76,1,0.013157894736842105,1,1
Jefferson,2020-07-17,73,16,0.2191780821917808,1,1
Whiteside,2020-07-17,70,10,0.14285714285714285,6,6
McDonough,2020-07-17,69,16,0.2318840579710145,3,3
Morgan,2020-07-17,64,3,0.046875,1,1
McLean,2020-07-17,63,11,0.1746031746031746,2,2
Kendall,2020-07-17,61,14,0.22950819672131148,3,3
Cass,2020-07-17,57,10,0.17543859649122806,1,1
Jackson,2020-07-17,56,15,0.26785714285714285,2,2
Iroquois,2020-07-17,55,4,0.07272727272727272,3,3
Monroe,2020-07-17,52,11,0.21153846153846154,3,3
LaSalle,2020-07-17,49,10,0.20408163265306123,2,2
Jasper,2020-07-17,49,8,0.16326530612244897,1,1
Champaign,2020-07-17,39,4,0.10256410256410256,4,4
Grundy,2020-07-17,34,3,0.08823529411764706,2,2
Tazewell,2020-07-17,26,6,0.23076923076923078,2,2
Montgomery,2020-07-17,15,0,0.0,2,2
Ford,2020-07-17,11,0,0.0,3,3
Adams,2020-07-17,9,0,0.0,1,1
Shelby,2020-07-17,8,0,0.0,2,2
Ogle,2020-07-17,8,0,0.0,2,2
Wayne,2020-07-17,8,1,0.125,2,2
Macoupin,2020-07-17,6,0,0.0,2,2
Randolph,2020-07-17,4,0,0.0,2,2
Effingham,2020-07-17,3,0,0.0,1,1
Clark,2020-07-17,3,0,0.0,1,1
Bond,2020-07-17,3,0,0.0,1,1
Christian,2020-07-17,2,0,0.0,1,1
Stephenson,2020-07-17,2,0,0.0,1,1
Logan,2020-07-17,2,0,0.0,1,1
Williamson,2020-07-17,2,0,0.0,1,1
Jo Daviess,2020-07-17,2,0,0.0,1,1
