County,confirmed_cases,deaths,% deaths,num of facilities
Cook,14199,2388,0.1681808578068878,317
DuPage,2376,432,0.18181818181818182,81
Lake,2129,336,0.15782057303898545,67
Kane,1197,189,0.15789473684210525,53
Will,1096,181,0.16514598540145986,50
St. Clair,833,113,0.13565426170468187,30
Winnebago,604,105,0.173841059602649,18
Madison,744,99,0.13306451612903225,29
McHenry,514,92,0.17898832684824903,15
Rock Island,423,64,0.15130023640661938,14
Kankakee,537,46,0.0856610800744879,15
LaSalle,292,43,0.14726027397260275,9
Peoria,276,36,0.13043478260869565,14
Jefferson,181,36,0.19889502762430938,5
Sangamon,237,32,0.1350210970464135,11
Macon,228,31,0.13596491228070176,8
Williamson,224,26,0.11607142857142858,6
Coles,202,25,0.12376237623762376,6
DeKalb,169,25,0.14792899408284024,6
Morgan,142,20,0.14084507042253522,4
Union,132,20,0.15151515151515152,3
Iroquois,132,18,0.13636363636363635,3
Jackson,76,17,0.2236842105263158,3
Clinton,207,16,0.07729468599033816,9
McDonough,71,16,0.22535211267605634,4
Boone,95,16,0.16842105263157894,2
Kendall,66,14,0.21212121212121213,4
McLean,99,12,0.12121212121212122,6
Tazewell,113,12,0.10619469026548672,9
Cass,65,11,0.16923076923076924,2
Monroe,83,11,0.13253012048192772,4
Perry,79,11,0.13924050632911392,2
Whiteside,93,11,0.11827956989247312,6
Greene,86,10,0.11627906976744186,1
Jersey,93,9,0.0967741935483871,1
Jasper,55,8,0.14545454545454545,2
Christian,77,6,0.07792207792207792,8
Adams,83,6,0.07228915662650602,6
Edgar,33,5,0.15151515151515152,1
Champaign,72,5,0.06944444444444445,11
Montgomery,17,3,0.17647058823529413,3
Cumberland,35,3,0.08571428571428572,1
Macoupin,51,3,0.058823529411764705,6
Ford,53,3,0.05660377358490566,5
Grundy,31,3,0.0967741935483871,1
Mercer,16,3,0.1875,1
Moultrie,34,3,0.08823529411764706,1
Woodford,10,2,0.2,2
Carroll,26,2,0.07692307692307693,1
Knox,16,2,0.125,2
Livingston,12,1,0.08333333333333333,3
Bureau,18,1,0.05555555555555555,2
Lee,120,1,0.008333333333333333,2
Wayne,8,1,0.125,2
Stephenson,2,0,0.0,1
Clark,16,0,0.0,3
Douglas,2,0,0.0,1
White,8,0,0.0,2
Warren,11,0,0.0,2
Wabash,15,0,0.0,3
Vermilion,17,0,0.0,3
Effingham,9,0,0.0,3
Fayette,42,0,0.0,2
Marion,9,0,0.0,3
Franklin,2,0,0.0,1
Logan,6,0,0.0,2
Scott,7,0,0.0,1
Hardin,2,0,0.0,1
Saline,2,0,0.0,1
Jo Daviess,14,0,0.0,3
Richland,25,0,0.0,2
Randolph,16,0,0.0,4
Pike,2,0,0.0,1
Lawrence,2,0,0.0,1
Ogle,10,0,0.0,2
Bond,29,0,0.0,2
Shelby,28,0,0.0,4
