County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Cook,2020-08-28,13933,2372,0.17024330725615444,298,291
DuPage,2020-08-28,2322,424,0.1826012058570198,72,67
Lake,2020-08-28,2114,319,0.15089877010406813,54,53
Kane,2020-08-28,1131,177,0.15649867374005305,47,45
Will,2020-08-28,931,174,0.18689581095596133,40,31
St. Clair,2020-08-28,682,107,0.15689149560117302,23,23
Winnebago,2020-08-28,608,101,0.16611842105263158,16,16
Madison,2020-08-28,539,78,0.14471243042671614,25,22
McHenry,2020-08-28,511,91,0.1780821917808219,14,13
Kankakee,2020-08-28,426,41,0.09624413145539906,12,12
Rock Island,2020-08-28,339,47,0.13864306784660768,14,14
LaSalle,2020-08-28,275,33,0.12,9,9
Clinton,2020-08-28,195,16,0.08205128205128205,5,4
Peoria,2020-08-28,184,30,0.16304347826086957,10,9
Sangamon,2020-08-28,177,28,0.15819209039548024,9,9
Jefferson,2020-08-28,173,32,0.18497109826589594,5,5
DeKalb,2020-08-28,147,24,0.16326530612244897,4,4
Macon,2020-08-28,141,22,0.15602836879432624,8,7
Morgan,2020-08-28,137,13,0.0948905109489051,3,3
Iroquois,2020-08-28,133,19,0.14285714285714285,3,3
Union,2020-08-28,132,20,0.15151515151515152,3,3
Coles,2020-08-28,124,20,0.16129032258064516,5,4
Williamson,2020-08-28,122,5,0.040983606557377046,4,4
Lee,2020-08-28,104,1,0.009615384615384616,2,1
Boone,2020-08-28,95,16,0.16842105263157894,2,2
Whiteside,2020-08-28,84,11,0.13095238095238096,6,6
Jackson,2020-08-28,79,15,0.189873417721519,3,3
McLean,2020-08-28,77,11,0.14285714285714285,4,3
Perry,2020-08-28,70,6,0.08571428571428572,1,1
McDonough,2020-08-28,68,16,0.23529411764705882,3,3
Monroe,2020-08-28,67,11,0.16417910447761194,4,4
Cass,2020-08-28,62,11,0.1774193548387097,2,2
Kendall,2020-08-28,62,14,0.22580645161290322,3,3
Tazewell,2020-08-28,58,6,0.10344827586206896,7,7
Adams,2020-08-28,56,4,0.07142857142857142,5,5
Jersey,2020-08-28,54,3,0.05555555555555555,1,1
Champaign,2020-08-28,53,5,0.09433962264150944,7,7
Jasper,2020-08-28,49,8,0.16326530612244897,1,1
Ford,2020-08-28,43,1,0.023255813953488372,4,4
Cumberland,2020-08-28,34,3,0.08823529411764706,1,1
Macoupin,2020-08-28,33,1,0.030303030303030304,4,4
Grundy,2020-08-28,31,3,0.0967741935483871,1,1
Moultrie,2020-08-28,27,0,0.0,1,1
Marion,2020-08-28,26,0,0.0,3,3
Christian,2020-08-28,24,1,0.041666666666666664,5,5
Carroll,2020-08-28,24,2,0.08333333333333333,1,1
Montgomery,2020-08-28,17,2,0.11764705882352941,3,3
Knox,2020-08-28,15,1,0.06666666666666667,2,2
Mercer,2020-08-28,14,2,0.14285714285714285,1,1
Edgar,2020-08-28,11,0,0.0,1,1
Shelby,2020-08-28,10,0,0.0,3,3
Randolph,2020-08-28,10,0,0.0,3,2
Ogle,2020-08-28,10,0,0.0,2,2
Wabash,2020-08-28,9,0,0.0,3,3
Wayne,2020-08-28,8,1,0.125,2,2
Clark,2020-08-28,8,0,0.0,1,1
Scott,2020-08-28,7,0,0.0,1,1
Jo Daviess,2020-08-28,5,0,0.0,2,1
Logan,2020-08-28,5,0,0.0,2,1
Effingham,2020-08-28,5,0,0.0,2,2
Bond,2020-08-28,5,0,0.0,1,1
Vermilion,2020-08-28,4,0,0.0,1,1
Livingston,2020-08-28,4,0,0.0,2,2
Richland,2020-08-28,4,0,0.0,1,1
Franklin,2020-08-28,4,0,0.0,2,2
Bureau,2020-08-28,3,0,0.0,1,1
Stephenson,2020-08-28,2,0,0.0,1,1
Warren,2020-08-28,2,0,0.0,1,1
Lawrence,2020-08-28,2,0,0.0,1,1
Douglas,2020-08-28,2,0,0.0,1,1
Woodford,2020-08-28,2,0,0.0,1,1
