County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Cook,2020-08-21,13741,2350,0.17102103194818427,290,286
DuPage,2020-08-21,2313,423,0.1828793774319066,71,68
Lake,2020-08-21,2126,306,0.14393226716839136,55,54
Kane,2020-08-21,1118,177,0.15831842576028624,46,44
Will,2020-08-21,930,174,0.1870967741935484,40,31
St. Clair,2020-08-21,653,106,0.16232771822358347,22,22
Winnebago,2020-08-21,583,99,0.16981132075471697,17,17
McHenry,2020-08-21,504,90,0.17857142857142858,14,13
Madison,2020-08-21,475,75,0.15789473684210525,22,20
Kankakee,2020-08-21,381,41,0.10761154855643044,12,12
Rock Island,2020-08-21,317,40,0.12618296529968454,14,14
LaSalle,2020-08-21,199,30,0.1507537688442211,7,7
Clinton,2020-08-21,190,16,0.08421052631578947,5,4
Peoria,2020-08-21,182,29,0.15934065934065933,9,8
Sangamon,2020-08-21,177,28,0.15819209039548024,9,9
Jefferson,2020-08-21,157,25,0.1592356687898089,5,5
DeKalb,2020-08-21,147,24,0.16326530612244897,4,4
Iroquois,2020-08-21,133,14,0.10526315789473684,3,3
Union,2020-08-21,132,20,0.15151515151515152,3,3
Morgan,2020-08-21,132,13,0.09848484848484848,4,4
Coles,2020-08-21,122,20,0.16393442622950818,6,5
Macon,2020-08-21,121,22,0.18181818181818182,8,7
Boone,2020-08-21,95,16,0.16842105263157894,2,2
Lee,2020-08-21,84,1,0.011904761904761904,1,1
Whiteside,2020-08-21,81,10,0.12345679012345678,6,6
McLean,2020-08-21,72,11,0.1527777777777778,4,3
McDonough,2020-08-21,69,16,0.2318840579710145,3,3
Monroe,2020-08-21,67,11,0.16417910447761194,4,4
Jackson,2020-08-21,63,15,0.23809523809523808,2,2
Perry,2020-08-21,62,3,0.04838709677419355,1,1
Kendall,2020-08-21,62,14,0.22580645161290322,3,3
Cass,2020-08-21,62,11,0.1774193548387097,2,2
Champaign,2020-08-21,51,5,0.09803921568627451,6,6
Jasper,2020-08-21,49,8,0.16326530612244897,1,1
Adams,2020-08-21,47,4,0.0851063829787234,5,5
Ford,2020-08-21,43,1,0.023255813953488372,4,4
Cumberland,2020-08-21,34,3,0.08823529411764706,1,1
Tazewell,2020-08-21,32,6,0.1875,5,5
Macoupin,2020-08-21,31,0,0.0,5,5
Grundy,2020-08-21,31,3,0.0967741935483871,1,1
Williamson,2020-08-21,31,0,0.0,3,3
Jersey,2020-08-21,29,1,0.034482758620689655,1,1
Carroll,2020-08-21,22,2,0.09090909090909091,1,1
Moultrie,2020-08-21,20,0,0.0,1,1
Montgomery,2020-08-21,15,2,0.13333333333333333,2,2
Knox,2020-08-21,13,1,0.07692307692307693,1,1
Mercer,2020-08-21,12,2,0.16666666666666666,1,1
Ogle,2020-08-21,10,0,0.0,2,2
Shelby,2020-08-21,10,0,0.0,3,3
Edgar,2020-08-21,10,0,0.0,1,1
Randolph,2020-08-21,9,0,0.0,3,2
Wabash,2020-08-21,9,0,0.0,3,3
Wayne,2020-08-21,8,1,0.125,2,2
Clark,2020-08-21,8,0,0.0,1,1
Scott,2020-08-21,7,0,0.0,1,1
Christian,2020-08-21,7,0,0.0,3,3
Jo Daviess,2020-08-21,5,0,0.0,2,1
Effingham,2020-08-21,5,0,0.0,2,2
Marion,2020-08-21,4,0,0.0,2,2
Bond,2020-08-21,4,0,0.0,1,1
Vermilion,2020-08-21,4,0,0.0,1,1
Logan,2020-08-21,3,0,0.0,1,1
Bureau,2020-08-21,3,0,0.0,1,1
Warren,2020-08-21,2,0,0.0,1,1
Stephenson,2020-08-21,2,0,0.0,1,1
Franklin,2020-08-21,2,0,0.0,1,1
Douglas,2020-08-21,2,0,0.0,1,1
Woodford,2020-08-21,2,0,0.0,1,1
