County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2021-01-29,23127,3246,0.1403554287196783,550,304,246,396
DuPage,2021-01-29,5005,637,0.12727272727272726,157,75,82,102
Lake,2021-01-29,3809,503,0.1320556576529273,124,70,54,97
Will,2021-01-29,3092,322,0.10413971539456662,80,47,33,49
Kane,2021-01-29,2777,325,0.1170327691753691,101,71,30,67
Madison,2021-01-29,2155,246,0.11415313225058005,63,29,34,46
St. Clair,2021-01-29,2040,238,0.11666666666666667,56,17,39,53
Winnebago,2021-01-29,1826,219,0.11993428258488499,55,34,21,47
Peoria,2021-01-29,1311,148,0.11289092295957284,32,16,16,27
Rock Island,2021-01-29,1298,175,0.13482280431432975,29,22,7,24
Kankakee,2021-01-29,1228,73,0.059446254071661236,23,12,11,18
Sangamon,2021-01-29,1215,146,0.12016460905349795,33,26,7,30
McHenry,2021-01-29,1177,154,0.1308411214953271,40,22,18,33
Tazewell,2021-01-29,1112,129,0.11600719424460432,37,20,17,34
LaSalle,2021-01-29,1021,174,0.17042115572967678,22,11,11,16
McLean,2021-01-29,763,112,0.14678899082568808,23,11,12,20
Clinton,2021-01-29,723,52,0.07192254495159059,19,12,7,17
Adams,2021-01-29,669,80,0.11958146487294469,16,5,11,15
Champaign,2021-01-29,608,50,0.08223684210526316,33,24,9,26
DeKalb,2021-01-29,603,61,0.1011608623548922,15,8,7,14
Marion,2021-01-29,586,52,0.08873720136518772,12,1,11,11
Knox,2021-01-29,581,103,0.17728055077452667,13,1,12,12
Macon,2021-01-29,578,65,0.11245674740484429,16,8,8,11
Coles,2021-01-29,568,70,0.12323943661971831,19,14,5,18
Whiteside,2021-01-29,537,91,0.16945996275605213,16,7,9,14
Williamson,2021-01-29,441,58,0.13151927437641722,14,4,10,13
Macoupin,2021-01-29,431,43,0.09976798143851508,18,12,6,14
Livingston,2021-01-29,374,40,0.10695187165775401,12,3,9,10
Morgan,2021-01-29,373,64,0.17158176943699732,10,6,4,9
