County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2021-01-15,22699,3176,0.1399180580642319,541,280,261,395
DuPage,2021-01-15,4816,597,0.12396179401993355,154,73,81,101
Lake,2021-01-15,3700,496,0.13405405405405404,123,67,56,96
Will,2021-01-15,2973,307,0.1032626976118399,77,48,29,47
Kane,2021-01-15,2728,311,0.11400293255131964,94,60,34,67
Madison,2021-01-15,2041,234,0.11464968152866242,61,27,34,45
St. Clair,2021-01-15,1961,201,0.10249872514023457,56,15,41,53
Winnebago,2021-01-15,1710,200,0.11695906432748537,56,30,26,48
Rock Island,2021-01-15,1296,173,0.13348765432098766,29,12,17,23
Peoria,2021-01-15,1222,128,0.10474631751227496,32,16,16,27
Sangamon,2021-01-15,1208,136,0.11258278145695365,32,25,7,29
Kankakee,2021-01-15,1179,71,0.06022052586938083,23,11,12,18
McHenry,2021-01-15,1040,143,0.1375,36,19,17,30
LaSalle,2021-01-15,1012,170,0.16798418972332016,22,11,11,16
Tazewell,2021-01-15,972,122,0.12551440329218108,36,16,20,33
McLean,2021-01-15,718,93,0.12952646239554316,22,9,13,19
Clinton,2021-01-15,688,54,0.07848837209302326,18,8,10,16
Adams,2021-01-15,638,60,0.09404388714733543,15,4,11,14
Champaign,2021-01-15,578,45,0.07785467128027682,32,21,11,25
Marion,2021-01-15,578,53,0.09169550173010381,12,1,11,11
Knox,2021-01-15,576,96,0.16666666666666666,13,1,12,12
Macon,2021-01-15,573,64,0.11169284467713787,15,6,9,11
Coles,2021-01-15,568,63,0.11091549295774648,19,12,7,18
DeKalb,2021-01-15,566,52,0.09187279151943463,15,7,8,14
Whiteside,2021-01-15,537,91,0.16945996275605213,14,3,11,14
Williamson,2021-01-15,413,56,0.13559322033898305,14,4,10,13
Morgan,2021-01-15,372,61,0.1639784946236559,10,6,4,9
Jefferson,2021-01-15,358,58,0.16201117318435754,10,4,6,9
Bureau,2021-01-15,349,47,0.1346704871060172,6,1,5,6
Monroe,2021-01-15,344,47,0.13662790697674418,7,2,5,7
Macoupin,2021-01-15,326,43,0.13190184049079753,18,12,6,14
Randolph,2021-01-15,320,30,0.09375,12,5,7,9
Boone,2021-01-15,315,47,0.1492063492063492,7,3,4,7
Vermilion,2021-01-15,310,39,0.12580645161290321,12,1,11,10
Ford,2021-01-15,293,39,0.13310580204778158,10,6,4,8
Iroquois,2021-01-15,293,29,0.09897610921501707,9,5,4,9
Lee,2021-01-15,273,39,0.14285714285714285,6,2,4,5
Woodford,2021-01-15,271,33,0.12177121771217712,8,1,7,7
Franklin,2021-01-15,258,29,0.1124031007751938,7,1,6,7
Christian,2021-01-15,247,42,0.1700404858299595,10,3,7,10
Jackson,2021-01-15,247,38,0.15384615384615385,10,3,7,7
Pike,2021-01-15,243,26,0.10699588477366255,4,1,3,4
Ogle,2021-01-15,241,34,0.14107883817427386,9,8,1,9
Richland,2021-01-15,240,32,0.13333333333333333,7,2,5,7
Livingston,2021-01-15,221,34,0.15384615384615385,11,2,9,10
Perry,2021-01-15,211,38,0.18009478672985782,6,2,4,6
Logan,2021-01-15,207,39,0.18840579710144928,8,3,5,6
Montgomery,2021-01-15,205,12,0.05853658536585366,7,2,5,7
Stephenson,2021-01-15,204,42,0.20588235294117646,8,1,7,7
Kendall,2021-01-15,196,32,0.16326530612244897,8,5,3,8
Jersey,2021-01-15,187,27,0.1443850267379679,6,1,5,6
Effingham,2021-01-15,186,32,0.17204301075268819,7,1,6,7
McDonough,2021-01-15,183,38,0.20765027322404372,10,6,4,10
Clark,2021-01-15,176,21,0.11931818181818182,5,1,4,5
Henry,2021-01-15,175,40,0.22857142857142856,8,0,8,8
Mason,2021-01-15,170,27,0.1588235294117647,6,6,0,6
Moultrie,2021-01-15,168,18,0.10714285714285714,7,1,6,7
Shelby,2021-01-15,162,14,0.08641975308641975,5,3,2,4
Lawrence,2021-01-15,160,18,0.1125,2,0,2,2
Carroll,2021-01-15,159,17,0.1069182389937107,3,1,2,3
Fayette,2021-01-15,156,20,0.1282051282051282,5,1,4,5
Grundy,2021-01-15,149,15,0.10067114093959731,4,1,3,4
