County,confirmed_cases,deaths,% deaths,num of facilities
Cook,13933,2372,0.17024330725615444,298
DuPage,2322,424,0.1826012058570198,72
Lake,2114,319,0.15089877010406813,54
Kane,1131,177,0.15649867374005305,47
Will,931,174,0.18689581095596133,40
St. Clair,682,107,0.15689149560117302,23
Winnebago,608,101,0.16611842105263158,16
McHenry,511,91,0.1780821917808219,14
Madison,539,78,0.14471243042671614,25
Rock Island,339,47,0.13864306784660768,14
Kankakee,426,41,0.09624413145539906,12
LaSalle,275,33,0.12,9
Jefferson,173,32,0.18497109826589594,5
Peoria,184,30,0.16304347826086957,10
Sangamon,177,28,0.15819209039548024,9
DeKalb,147,24,0.16326530612244897,4
Macon,141,22,0.15602836879432624,8
Coles,124,20,0.16129032258064516,5
Union,132,20,0.15151515151515152,3
Iroquois,133,19,0.14285714285714285,3
McDonough,68,16,0.23529411764705882,3
Boone,95,16,0.16842105263157894,2
Clinton,195,16,0.08205128205128205,5
Jackson,79,15,0.189873417721519,3
Kendall,62,14,0.22580645161290322,3
Morgan,137,13,0.0948905109489051,3
Cass,62,11,0.1774193548387097,2
McLean,77,11,0.14285714285714285,4
Monroe,67,11,0.16417910447761194,4
Whiteside,84,11,0.13095238095238096,6
Jasper,49,8,0.16326530612244897,1
Perry,70,6,0.08571428571428572,1
Tazewell,58,6,0.10344827586206896,7
Champaign,53,5,0.09433962264150944,7
Williamson,122,5,0.040983606557377046,4
Adams,56,4,0.07142857142857142,5
Grundy,31,3,0.0967741935483871,1
Jersey,54,3,0.05555555555555555,1
Cumberland,34,3,0.08823529411764706,1
Carroll,24,2,0.08333333333333333,1
Montgomery,17,2,0.11764705882352941,3
Mercer,14,2,0.14285714285714285,1
Christian,24,1,0.041666666666666664,5
Wayne,8,1,0.125,2
Ford,43,1,0.023255813953488372,4
Lee,104,1,0.009615384615384616,2
Knox,15,1,0.06666666666666667,2
Macoupin,33,1,0.030303030303030304,4
Wabash,9,0,0.0,3
Warren,2,0,0.0,1
Stephenson,2,0,0.0,1
Shelby,10,0,0.0,3
Scott,7,0,0.0,1
Vermilion,4,0,0.0,1
Livingston,4,0,0.0,2
Richland,4,0,0.0,1
Randolph,10,0,0.0,3
Ogle,10,0,0.0,2
Moultrie,27,0,0.0,1
Marion,26,0,0.0,3
Logan,5,0,0.0,2
Bond,5,0,0.0,1
Lawrence,2,0,0.0,1
Jo Daviess,5,0,0.0,2
Franklin,4,0,0.0,2
Effingham,5,0,0.0,2
Edgar,11,0,0.0,1
Douglas,2,0,0.0,1
Clark,8,0,0.0,1
Bureau,3,0,0.0,1
Woodford,2,0,0.0,1
