County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Cook,2020-07-31,13744,2323,0.16901920838183934,288,288
DuPage,2020-07-31,2269,410,0.18069634200088144,67,65
Lake,2020-07-31,1930,305,0.15803108808290156,53,53
Kane,2020-07-31,1052,172,0.1634980988593156,39,38
Will,2020-07-31,881,166,0.188422247446084,33,29
St. Clair,2020-07-31,597,102,0.1708542713567839,18,18
Winnebago,2020-07-31,563,85,0.15097690941385436,18,18
McHenry,2020-07-31,495,86,0.17373737373737375,14,13
Kankakee,2020-07-31,362,41,0.1132596685082873,13,13
Madison,2020-07-31,320,61,0.190625,17,15
Rock Island,2020-07-31,208,23,0.11057692307692307,12,12
Clinton,2020-07-31,184,16,0.08695652173913043,4,4
Sangamon,2020-07-31,159,28,0.1761006289308176,7,7
Peoria,2020-07-31,150,27,0.18,8,8
DeKalb,2020-07-31,142,19,0.13380281690140844,4,4
Union,2020-07-31,132,20,0.15151515151515152,3,3
Iroquois,2020-07-31,115,6,0.05217391304347826,3,3
Macon,2020-07-31,107,22,0.205607476635514,6,5
Coles,2020-07-31,100,17,0.17,4,4
Boone,2020-07-31,95,16,0.16842105263157894,2,2
Lee,2020-07-31,76,1,0.013157894736842105,1,1
Jefferson,2020-07-31,76,16,0.21052631578947367,2,2
Whiteside,2020-07-31,70,10,0.14285714285714285,6,6
Morgan,2020-07-31,68,4,0.058823529411764705,2,2
Monroe,2020-07-31,68,11,0.16176470588235295,4,4
McDonough,2020-07-31,68,17,0.25,3,3
McLean,2020-07-31,65,11,0.16923076923076924,3,3
Kendall,2020-07-31,62,14,0.22580645161290322,3,3
Jackson,2020-07-31,60,15,0.25,2,2
LaSalle,2020-07-31,59,10,0.1694915254237288,3,3
Cass,2020-07-31,59,11,0.1864406779661017,1,1
Jasper,2020-07-31,49,8,0.16326530612244897,1,1
Champaign,2020-07-31,46,5,0.10869565217391304,5,5
Grundy,2020-07-31,34,3,0.08823529411764706,2,2
Cumberland,2020-07-31,30,2,0.06666666666666667,1,1
Tazewell,2020-07-31,26,6,0.23076923076923078,2,2
Adams,2020-07-31,21,0,0.0,2,2
Montgomery,2020-07-31,15,2,0.13333333333333333,2,2
Ford,2020-07-31,13,0,0.0,4,4
Ogle,2020-07-31,8,0,0.0,2,2
Shelby,2020-07-31,8,0,0.0,2,2
Wayne,2020-07-31,8,1,0.125,2,2
Randolph,2020-07-31,7,0,0.0,3,2
Carroll,2020-07-31,7,1,0.14285714285714285,1,1
Macoupin,2020-07-31,6,0,0.0,2,2
Bond,2020-07-31,4,0,0.0,1,1
Clark,2020-07-31,4,0,0.0,1,1
Mercer,2020-07-31,4,0,0.0,1,1
Logan,2020-07-31,3,0,0.0,1,1
Williamson,2020-07-31,2,0,0.0,1,1
Bureau,2020-07-31,2,0,0.0,1,1
Stephenson,2020-07-31,2,0,0.0,1,1
Warren,2020-07-31,2,0,0.0,1,1
Christian,2020-07-31,2,0,0.0,1,1
Jo Daviess,2020-07-31,2,0,0.0,1,1
