County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2021-01-22,23212,3226,0.13897983801481992,547,285,262,395
DuPage,2021-01-22,4928,606,0.12297077922077922,154,73,81,101
Lake,2021-01-22,3810,513,0.1346456692913386,124,68,56,97
Will,2021-01-22,3029,318,0.10498514361175305,79,47,32,48
Kane,2021-01-22,2741,318,0.11601605253557096,99,71,28,67
Madison,2021-01-22,2130,243,0.11408450704225352,63,29,34,46
St. Clair,2021-01-22,2009,218,0.10851169736187158,57,16,41,54
Winnebago,2021-01-22,1767,208,0.1177136389360498,55,31,24,47
Peoria,2021-01-22,1306,142,0.10872894333843798,32,16,16,27
Rock Island,2021-01-22,1296,176,0.13580246913580246,29,13,16,23
Sangamon,2021-01-22,1215,141,0.11604938271604938,33,26,7,30
Kankakee,2021-01-22,1212,73,0.06023102310231023,23,11,12,18
McHenry,2021-01-22,1130,153,0.13539823008849558,38,20,18,31
Tazewell,2021-01-22,1059,126,0.11898016997167139,37,18,19,34
LaSalle,2021-01-22,1013,173,0.17077986179664364,22,12,10,16
McLean,2021-01-22,742,106,0.14285714285714285,23,10,13,20
Clinton,2021-01-22,705,52,0.07375886524822695,19,12,7,17
Adams,2021-01-22,655,73,0.11145038167938931,16,4,12,15
Champaign,2021-01-22,605,49,0.08099173553719008,33,22,11,26
DeKalb,2021-01-22,596,55,0.09228187919463088,15,7,8,14
Marion,2021-01-22,582,53,0.09106529209621993,12,1,11,11
Macon,2021-01-22,579,65,0.11226252158894647,15,6,9,11
Knox,2021-01-22,578,99,0.17128027681660898,13,1,12,12
Coles,2021-01-22,568,64,0.11267605633802817,19,12,7,18
Whiteside,2021-01-22,538,91,0.1691449814126394,14,3,11,14
Williamson,2021-01-22,424,58,0.13679245283018868,14,4,10,13
Morgan,2021-01-22,373,63,0.16890080428954424,10,6,4,9
Jefferson,2021-01-22,364,58,0.15934065934065933,10,4,6,9
Monroe,2021-01-22,361,49,0.13573407202216067,7,2,5,7
Macoupin,2021-01-22,359,43,0.11977715877437325,18,11,7,14
Bureau,2021-01-22,350,49,0.14,6,2,4,6
Randolph,2021-01-22,325,32,0.09846153846153846,12,5,7,9
Vermilion,2021-01-22,321,44,0.13707165109034267,12,1,11,10
Boone,2021-01-22,317,48,0.15141955835962145,7,3,4,7
Ford,2021-01-22,293,40,0.13651877133105803,10,6,4,8
Iroquois,2021-01-22,293,30,0.10238907849829351,9,6,3,9
Lee,2021-01-22,274,40,0.145985401459854,6,2,4,5
Livingston,2021-01-22,274,35,0.12773722627737227,12,2,10,10
Woodford,2021-01-22,271,33,0.12177121771217712,8,1,7,7
Franklin,2021-01-22,260,29,0.11153846153846154,7,1,6,7
Ogle,2021-01-22,258,34,0.13178294573643412,9,6,3,9
Jackson,2021-01-22,251,39,0.1553784860557769,11,4,7,7
Christian,2021-01-22,250,43,0.172,10,3,7,10
Richland,2021-01-22,247,36,0.145748987854251,7,2,5,7
Pike,2021-01-22,244,28,0.11475409836065574,4,1,3,4
Montgomery,2021-01-22,241,17,0.07053941908713693,7,2,5,7
Logan,2021-01-22,217,43,0.19815668202764977,9,3,6,7
Stephenson,2021-01-22,212,43,0.2028301886792453,8,1,7,7
Perry,2021-01-22,212,38,0.1792452830188679,6,2,4,6
Kendall,2021-01-22,199,33,0.1658291457286432,8,5,3,8
Effingham,2021-01-22,197,32,0.16243654822335024,7,1,6,7
Henry,2021-01-22,190,45,0.23684210526315788,8,0,8,8
Jersey,2021-01-22,187,31,0.1657754010695187,6,1,5,6
McDonough,2021-01-22,183,38,0.20765027322404372,10,5,5,10
Clark,2021-01-22,180,28,0.15555555555555556,5,1,4,5
Mason,2021-01-22,169,27,0.15976331360946747,6,6,0,6
Moultrie,2021-01-22,168,18,0.10714285714285714,7,1,6,7
Shelby,2021-01-22,163,14,0.08588957055214724,5,3,2,4
Lawrence,2021-01-22,160,18,0.1125,2,0,2,2
Carroll,2021-01-22,159,18,0.11320754716981132,3,1,2,3
Fayette,2021-01-22,156,20,0.1282051282051282,5,1,4,5
Grundy,2021-01-22,150,15,0.1,4,1,3,4
Union,2021-01-22,148,20,0.13513513513513514,6,3,3,5
Saline,2021-01-22,131,29,0.22137404580152673,4,1,3,3
Fulton,2021-01-22,127,22,0.1732283464566929,5,0,5,5
Greene,2021-01-22,126,25,0.1984126984126984,1,0,1,1
Washington,2021-01-22,124,18,0.14516129032258066,3,2,1,3
Clay,2021-01-22,123,23,0.18699186991869918,3,1,2,3
White,2021-01-22,122,20,0.16393442622950818,3,0,3,3
Wayne,2021-01-22,119,19,0.15966386554621848,5,2,3,5
Cass,2021-01-22,104,21,0.20192307692307693,4,3,1,4
