County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2020-10-09,14370,2397,0.16680584551148225,338,139,199,310
DuPage,2020-10-09,2386,436,0.18273260687342832,84,43,41,74
Lake,2020-10-09,2191,339,0.15472387037882246,69,46,23,64
Kane,2020-10-09,1237,189,0.15278900565885206,59,42,17,54
Will,2020-10-09,1198,187,0.15609348914858096,55,38,17,39
St. Clair,2020-10-09,853,123,0.14419695193434937,31,3,28,30
Madison,2020-10-09,788,105,0.13324873096446702,33,17,16,26
Winnebago,2020-10-09,621,107,0.1723027375201288,20,15,5,19
Kankakee,2020-10-09,548,47,0.08576642335766424,17,9,8,15
McHenry,2020-10-09,516,92,0.17829457364341086,16,15,1,15
Rock Island,2020-10-09,445,66,0.14831460674157304,15,8,7,14
Peoria,2020-10-09,310,39,0.12580645161290321,17,9,8,16
LaSalle,2020-10-09,293,43,0.14675767918088736,9,7,2,9
Sangamon,2020-10-09,288,35,0.12152777777777778,12,5,7,12
Macon,2020-10-09,254,33,0.12992125984251968,9,2,7,8
Williamson,2020-10-09,238,39,0.1638655462184874,8,3,5,8
Clinton,2020-10-09,212,16,0.07547169811320754,8,6,2,7
Coles,2020-10-09,208,25,0.1201923076923077,7,5,2,6
Jefferson,2020-10-09,202,36,0.1782178217821782,6,5,1,6
DeKalb,2020-10-09,193,27,0.13989637305699482,8,3,5,7
Morgan,2020-10-09,154,22,0.14285714285714285,5,2,3,5
Christian,2020-10-09,154,14,0.09090909090909091,8,1,7,8
McLean,2020-10-09,153,13,0.08496732026143791,12,3,9,11
Tazewell,2020-10-09,149,21,0.14093959731543623,11,4,7,10
Monroe,2020-10-09,134,19,0.1417910447761194,4,2,2,4
Iroquois,2020-10-09,132,18,0.13636363636363635,3,3,0,3
Union,2020-10-09,132,20,0.15151515151515152,3,3,0,3
Lee,2020-10-09,125,1,0.008,2,2,0,1
Adams,2020-10-09,113,6,0.05309734513274336,6,1,5,6
Greene,2020-10-09,100,14,0.14,1,0,1,1
Jersey,2020-10-09,99,15,0.15151515151515152,1,0,1,1
Boone,2020-10-09,95,16,0.16842105263157894,2,2,0,2
Whiteside,2020-10-09,93,11,0.11827956989247312,6,3,3,6
Champaign,2020-10-09,87,9,0.10344827586206896,12,7,5,11
Richland,2020-10-09,84,5,0.05952380952380952,3,0,3,3
Perry,2020-10-09,79,12,0.1518987341772152,2,1,1,2
Jackson,2020-10-09,76,16,0.21052631578947367,3,2,1,3
McDonough,2020-10-09,71,16,0.22535211267605634,4,3,1,4
Shelby,2020-10-09,71,2,0.028169014084507043,4,1,3,3
Kendall,2020-10-09,68,14,0.20588235294117646,4,3,1,4
Cass,2020-10-09,66,11,0.16666666666666666,2,1,1,2
Fayette,2020-10-09,63,5,0.07936507936507936,3,1,2,3
Ford,2020-10-09,56,3,0.05357142857142857,5,5,0,5
Jasper,2020-10-09,56,8,0.14285714285714285,2,1,1,2
Macoupin,2020-10-09,52,3,0.057692307692307696,6,2,4,6
Clay,2020-10-09,50,0,0.0,1,0,1,1
Knox,2020-10-09,50,2,0.04,3,1,2,3
Wabash,2020-10-09,42,1,0.023809523809523808,3,1,2,3
Woodford,2020-10-09,40,4,0.1,3,0,3,3
Bond,2020-10-09,40,4,0.1,2,0,2,2
Moultrie,2020-10-09,36,3,0.08333333333333333,2,0,2,2
Cumberland,2020-10-09,35,3,0.08571428571428572,1,0,1,1
De Witt,2020-10-09,35,0,0.0,1,0,1,1
Carroll,2020-10-09,33,3,0.09090909090909091,2,0,2,2
Edgar,2020-10-09,33,6,0.18181818181818182,1,0,1,1
Grundy,2020-10-09,31,3,0.0967741935483871,1,1,0,1
Clark,2020-10-09,28,0,0.0,3,0,3,3
Ogle,2020-10-09,25,0,0.0,3,1,2,3
Randolph,2020-10-09,19,0,0.0,5,1,4,4
Bureau,2020-10-09,18,1,0.05555555555555555,2,0,2,2
Livingston,2020-10-09,18,1,0.05555555555555555,3,0,3,3
Montgomery,2020-10-09,17,3,0.17647058823529413,3,1,2,3
Marion,2020-10-09,16,1,0.0625,6,0,6,6
Mercer,2020-10-09,16,4,0.25,1,0,1,1
Wayne,2020-10-09,15,1,0.06666666666666667,4,2,2,4
White,2020-10-09,14,0,0.0,2,0,2,2
Warren,2020-10-09,11,1,0.09090909090909091,2,0,2,2
Effingham,2020-10-09,9,0,0.0,3,0,3,3
Vermilion,2020-10-09,8,0,0.0,2,0,2,2
Scott,2020-10-09,7,0,0.0,1,1,0,1
Logan,2020-10-09,6,0,0.0,2,1,1,2
Jo Daviess,2020-10-09,6,0,0.0,2,2,0,2
Franklin,2020-10-09,4,0,0.0,2,0,2,2
Saline,2020-10-09,4,0,0.0,1,0,1,1
Pike,2020-10-09,3,1,0.3333333333333333,1,0,1,1
Brown,2020-10-09,3,0,0.0,1,0,1,1
Douglas,2020-10-09,2,0,0.0,1,0,1,1
Lawrence,2020-10-09,2,0,0.0,1,0,1,1
Hardin,2020-10-09,2,0,0.0,1,1,0,1
Stephenson,2020-10-09,2,0,0.0,1,1,0,1
