County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Cook,2020-11-06,15294,2450,0.1601935399503073,409,339
DuPage,2020-11-06,2872,463,0.1612116991643454,118,88
Lake,2020-11-06,2319,342,0.14747736093143596,90,79
Will,2020-11-06,1533,212,0.13829093281148075,59,38
Kane,2020-11-06,1497,198,0.13226452905811623,77,63
Madison,2020-11-06,966,112,0.11594202898550725,39,32
St. Clair,2020-11-06,951,132,0.138801261829653,39,37
Winnebago,2020-11-06,812,107,0.13177339901477833,39,35
Kankakee,2020-11-06,581,47,0.08089500860585198,20,16
McHenry,2020-11-06,554,92,0.16606498194945848,22,21
LaSalle,2020-11-06,494,56,0.11336032388663968,13,12
Peoria,2020-11-06,494,58,0.11740890688259109,21,18
Rock Island,2020-11-06,476,69,0.14495798319327732,17,15
Sangamon,2020-11-06,420,38,0.09047619047619047,18,18
Coles,2020-11-06,330,33,0.1,9,8
Clinton,2020-11-06,306,29,0.09477124183006536,10,9
Macon,2020-11-06,288,34,0.11805555555555555,10,9
Tazewell,2020-11-06,271,35,0.12915129151291513,14,13
Williamson,2020-11-06,245,41,0.1673469387755102,9,9
Jefferson,2020-11-06,236,44,0.1864406779661017,5,5
McLean,2020-11-06,228,23,0.10087719298245613,14,12
DeKalb,2020-11-06,214,28,0.1308411214953271,10,9
Champaign,2020-11-06,193,10,0.05181347150259067,21,17
Whiteside,2020-11-06,186,18,0.0967741935483871,11,11
Adams,2020-11-06,185,17,0.0918918918918919,10,10
Knox,2020-11-06,180,14,0.07777777777777778,10,9
Monroe,2020-11-06,179,27,0.15083798882681565,5,5
Christian,2020-11-06,162,22,0.13580246913580246,9,9
Morgan,2020-11-06,159,24,0.1509433962264151,6,6
Shelby,2020-11-06,148,9,0.060810810810810814,5,4
Richland,2020-11-06,147,19,0.1292517006802721,5,5
Lee,2020-11-06,144,1,0.006944444444444444,3,2
Ford,2020-11-06,139,14,0.10071942446043165,7,6
Marion,2020-11-06,138,9,0.06521739130434782,7,7
Iroquois,2020-11-06,136,18,0.1323529411764706,4,4
Union,2020-11-06,132,20,0.15151515151515152,3,3
Jackson,2020-11-06,121,17,0.14049586776859505,5,4
Carroll,2020-11-06,118,9,0.07627118644067797,2,2
McDonough,2020-11-06,117,21,0.1794871794871795,7,7
Lawrence,2020-11-06,114,5,0.043859649122807015,2,2
Fayette,2020-11-06,112,15,0.13392857142857142,3,3
Boone,2020-11-06,106,17,0.16037735849056603,4,4
Jersey,2020-11-06,105,18,0.17142857142857143,3,3
Greene,2020-11-06,102,15,0.14705882352941177,1,1
Mason,2020-11-06,96,9,0.09375,2,2
Randolph,2020-11-06,91,1,0.01098901098901099,7,4
Pike,2020-11-06,89,7,0.07865168539325842,4,4
Perry,2020-11-06,79,12,0.1518987341772152,2,2
Clark,2020-11-06,78,15,0.19230769230769232,4,4
Kendall,2020-11-06,72,15,0.20833333333333334,5,5
De Witt,2020-11-06,70,7,0.1,1,1
Woodford,2020-11-06,69,9,0.13043478260869565,4,4
Cass,2020-11-06,67,11,0.16417910447761194,2,2
Wayne,2020-11-06,67,6,0.08955223880597014,4,4
Clay,2020-11-06,64,12,0.1875,2,2
Macoupin,2020-11-06,60,3,0.05,8,8
Jasper,2020-11-06,58,8,0.13793103448275862,2,2
Vermilion,2020-11-06,56,1,0.017857142857142856,7,6
Ogle,2020-11-06,55,2,0.03636363636363636,4,4
Moultrie,2020-11-06,52,5,0.09615384615384616,3,3
Franklin,2020-11-06,50,2,0.04,5,5
Saline,2020-11-06,49,5,0.10204081632653061,2,2
White,2020-11-06,45,2,0.044444444444444446,2,2
Cumberland,2020-11-06,43,3,0.06976744186046512,1,1
Bond,2020-11-06,41,4,0.0975609756097561,2,2
Stephenson,2020-11-06,40,1,0.025,4,3
Edgar,2020-11-06,39,6,0.15384615384615385,1,1
Grundy,2020-11-06,31,3,0.0967741935483871,1,1
Wabash,2020-11-06,31,1,0.03225806451612903,2,2
Jo Daviess,2020-11-06,30,6,0.2,4,3
Livingston,2020-11-06,30,1,0.03333333333333333,3,3
Logan,2020-11-06,24,1,0.041666666666666664,5,4
Bureau,2020-11-06,20,1,0.05,3,3
Montgomery,2020-11-06,17,3,0.17647058823529413,3,3
Mercer,2020-11-06,16,4,0.25,1,1
Warren,2020-11-06,14,2,0.14285714285714285,2,2
Douglas,2020-11-06,12,1,0.08333333333333333,2,2
Brown,2020-11-06,12,0,0.0,1,1
Piatt,2020-11-06,11,0,0.0,1,1
Effingham,2020-11-06,9,0,0.0,3,3
Scott,2020-11-06,7,0,0.0,1,1
Fulton,2020-11-06,5,0,0.0,1,1
Hancock,2020-11-06,3,1,0.3333333333333333,1,1
Washington,2020-11-06,2,1,0.5,1,1
Crawford,2020-11-06,2,0,0.0,1,1
