County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2020-10-23,14740,2432,0.1649932157394844,375,177,198,327
DuPage,2020-10-23,2525,444,0.17584158415841583,98,48,50,79
Lake,2020-10-23,2245,338,0.15055679287305124,77,55,22,70
Will,2020-10-23,1318,201,0.15250379362670713,56,39,17,38
Kane,2020-10-23,1307,193,0.1476664116296863,67,46,21,59
St. Clair,2020-10-23,896,128,0.14285714285714285,36,4,32,34
Madison,2020-10-23,835,109,0.13053892215568863,37,21,16,30
Winnebago,2020-10-23,679,105,0.15463917525773196,25,18,7,23
Kankakee,2020-10-23,550,47,0.08545454545454545,17,9,8,15
McHenry,2020-10-23,536,92,0.17164179104477612,19,17,2,18
Rock Island,2020-10-23,459,68,0.14814814814814814,16,10,6,15
Peoria,2020-10-23,454,48,0.10572687224669604,20,10,10,18
LaSalle,2020-10-23,372,47,0.12634408602150538,11,8,3,11
Sangamon,2020-10-23,337,36,0.10682492581602374,15,7,8,15
Clinton,2020-10-23,265,18,0.06792452830188679,10,6,4,9
Macon,2020-10-23,259,34,0.13127413127413126,9,2,7,8
Williamson,2020-10-23,240,41,0.17083333333333334,9,3,6,9
Coles,2020-10-23,237,30,0.12658227848101267,8,6,2,7
Jefferson,2020-10-23,232,39,0.16810344827586207,5,4,1,5
Tazewell,2020-10-23,226,30,0.13274336283185842,13,6,7,12
DeKalb,2020-10-23,198,28,0.1414141414141414,9,3,6,8
McLean,2020-10-23,189,16,0.08465608465608465,13,4,9,11
Adams,2020-10-23,159,10,0.06289308176100629,10,4,6,10
Christian,2020-10-23,159,18,0.11320754716981132,8,1,7,8
Morgan,2020-10-23,155,24,0.15483870967741936,5,3,2,5
Monroe,2020-10-23,153,24,0.1568627450980392,4,2,2,4
Richland,2020-10-23,145,17,0.11724137931034483,5,0,5,5
Iroquois,2020-10-23,132,18,0.13636363636363635,3,3,0,3
Union,2020-10-23,132,20,0.15151515151515152,3,3,0,3
Lee,2020-10-23,125,1,0.008,2,2,0,1
Knox,2020-10-23,122,4,0.03278688524590164,5,1,4,5
Shelby,2020-10-23,122,7,0.05737704918032787,5,1,4,4
Champaign,2020-10-23,115,10,0.08695652173913043,16,10,6,13
Lawrence,2020-10-23,114,5,0.043859649122807015,2,1,1,2
Whiteside,2020-10-23,112,12,0.10714285714285714,7,3,4,7
Fayette,2020-10-23,111,14,0.12612612612612611,3,1,2,3
Jackson,2020-10-23,109,16,0.14678899082568808,4,2,2,4
Boone,2020-10-23,100,17,0.17,3,2,1,3
Jersey,2020-10-23,100,17,0.17,1,0,1,1
Greene,2020-10-23,100,14,0.14,1,0,1,1
Ford,2020-10-23,99,6,0.06060606060606061,6,5,1,5
McDonough,2020-10-23,97,17,0.17525773195876287,7,3,4,7
Carroll,2020-10-23,87,4,0.04597701149425287,2,0,2,2
Perry,2020-10-23,79,12,0.1518987341772152,2,1,1,2
Kendall,2020-10-23,72,14,0.19444444444444445,5,3,2,5
Woodford,2020-10-23,67,5,0.07462686567164178,3,0,3,3
Cass,2020-10-23,66,11,0.16666666666666666,2,1,1,2
Clark,2020-10-23,65,7,0.1076923076923077,3,0,3,3
Macoupin,2020-10-23,60,3,0.05,8,2,6,8
De Witt,2020-10-23,57,1,0.017543859649122806,1,0,1,1
Jasper,2020-10-23,57,8,0.14035087719298245,2,1,1,2
Clay,2020-10-23,55,11,0.2,1,0,1,1
Pike,2020-10-23,51,3,0.058823529411764705,2,0,2,2
Franklin,2020-10-23,43,1,0.023255813953488372,4,1,3,4
Moultrie,2020-10-23,42,4,0.09523809523809523,2,0,2,2
Wayne,2020-10-23,41,3,0.07317073170731707,4,2,2,4
Bond,2020-10-23,40,4,0.1,2,0,2,2
Cumberland,2020-10-23,35,3,0.08571428571428572,1,0,1,1
Marion,2020-10-23,34,2,0.058823529411764705,6,0,6,6
Edgar,2020-10-23,34,6,0.17647058823529413,1,0,1,1
Randolph,2020-10-23,34,0,0.0,7,3,4,4
White,2020-10-23,34,0,0.0,2,0,2,2
Wabash,2020-10-23,31,1,0.03225806451612903,2,1,1,2
Vermilion,2020-10-23,31,0,0.0,4,0,4,4
Grundy,2020-10-23,31,3,0.0967741935483871,1,1,0,1
Ogle,2020-10-23,30,1,0.03333333333333333,3,2,1,3
Livingston,2020-10-23,29,1,0.034482758620689655,3,1,2,3
Saline,2020-10-23,28,1,0.03571428571428571,2,0,2,2
Jo Daviess,2020-10-23,28,5,0.17857142857142858,3,2,1,2
Bureau,2020-10-23,19,1,0.05263157894736842,2,1,1,2
Montgomery,2020-10-23,17,3,0.17647058823529413,3,1,2,3
Stephenson,2020-10-23,17,0,0.0,3,1,2,2
Mercer,2020-10-23,16,4,0.25,1,0,1,1
Douglas,2020-10-23,12,0,0.0,2,0,2,2
Mason,2020-10-23,12,0,0.0,2,0,2,2
Warren,2020-10-23,12,2,0.16666666666666666,2,0,2,2
Logan,2020-10-23,12,0,0.0,4,2,2,3
Effingham,2020-10-23,9,0,0.0,3,0,3,3
Scott,2020-10-23,7,0,0.0,1,1,0,1
Brown,2020-10-23,6,0,0.0,1,0,1,1
Fulton,2020-10-23,5,0,0.0,1,0,1,1
Hancock,2020-10-23,3,1,0.3333333333333333,1,0,1,1
Washington,2020-10-23,2,1,0.5,1,0,1,1
Crawford,2020-10-23,2,0,0.0,1,0,1,1
