County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2020-06-19,12247,2092,0.1708173430227811,277,6,271,277
DuPage,2020-06-19,2034,354,0.17404129793510326,59,0,59,59
Lake,2020-06-19,1575,268,0.17015873015873015,47,1,46,47
Kane,2020-06-19,893,145,0.1623740201567749,33,0,33,33
Will,2020-06-19,767,151,0.196870925684485,30,11,19,29
St. Clair,2020-06-19,485,87,0.17938144329896907,14,0,14,14
McHenry,2020-06-19,408,73,0.17892156862745098,12,3,9,12
Kankakee,2020-06-19,320,39,0.121875,12,2,10,12
Winnebago,2020-06-19,315,52,0.16507936507936508,18,0,18,18
Madison,2020-06-19,249,56,0.2248995983935743,8,0,8,8
Clinton,2020-06-19,181,17,0.09392265193370165,4,0,4,4
Rock Island,2020-06-19,151,22,0.1456953642384106,9,1,8,9
Peoria,2020-06-19,145,20,0.13793103448275862,7,2,5,7
Sangamon,2020-06-19,133,27,0.20300751879699247,3,0,3,3
Union,2020-06-19,130,18,0.13846153846153847,3,0,3,3
Macon,2020-06-19,102,22,0.21568627450980393,4,0,4,4
Boone,2020-06-19,93,16,0.17204301075268819,2,0,2,2
Coles,2020-06-19,87,16,0.1839080459770115,2,0,2,2
DeKalb,2020-06-19,82,12,0.14634146341463414,3,0,3,3
Lee,2020-06-19,76,1,0.013157894736842105,1,0,1,1
Jefferson,2020-06-19,73,16,0.2191780821917808,1,0,1,1
McDonough,2020-06-19,67,16,0.23880597014925373,3,0,3,3
McLean,2020-06-19,65,10,0.15384615384615385,3,1,2,3
Kendall,2020-06-19,59,14,0.23728813559322035,3,1,2,3
Whiteside,2020-06-19,58,10,0.1724137931034483,4,1,3,4
Jackson,2020-06-19,54,13,0.24074074074074073,2,0,2,2
Iroquois,2020-06-19,52,4,0.07692307692307693,2,0,2,2
Monroe,2020-06-19,51,11,0.21568627450980393,3,0,3,3
Jasper,2020-06-19,49,8,0.16326530612244897,1,0,1,1
Morgan,2020-06-19,48,1,0.020833333333333332,1,0,1,1
LaSalle,2020-06-19,45,10,0.2222222222222222,2,0,2,2
Champaign,2020-06-19,32,1,0.03125,3,1,2,3
Tazewell,2020-06-19,26,5,0.19230769230769232,2,0,2,2
Grundy,2020-06-19,20,1,0.05,1,0,1,1
Wayne,2020-06-19,8,1,0.125,2,1,1,2
Ford,2020-06-19,7,0,0.0,2,1,1,2
Macoupin,2020-06-19,6,0,0.0,2,1,1,2
Shelby,2020-06-19,6,0,0.0,1,1,0,1
Randolph,2020-06-19,4,0,0.0,2,0,2,2
Stephenson,2020-06-19,2,0,0.0,1,0,1,1
Montgomery,2020-06-19,2,0,0.0,1,1,0,1
Jo Daviess,2020-06-19,2,0,0.0,1,0,1,1
Christian,2020-06-19,2,0,0.0,1,0,1,1
Ogle,2020-06-19,2,0,0.0,1,0,1,1
