County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Cook,2020-11-13,15863,2481,0.15640168946605307,428,349
DuPage,2020-11-13,3115,485,0.15569823434991975,125,91
Lake,2020-11-13,2378,343,0.14423885618166526,93,81
Will,2020-11-13,1734,225,0.12975778546712802,67,41
Kane,2020-11-13,1684,208,0.12351543942992874,81,65
Madison,2020-11-13,1125,121,0.10755555555555556,44,35
St. Clair,2020-11-13,957,137,0.14315569487983282,41,39
Winnebago,2020-11-13,812,108,0.1330049261083744,39,35
LaSalle,2020-11-13,637,68,0.10675039246467818,15,13
Kankakee,2020-11-13,612,45,0.07352941176470588,20,15
Peoria,2020-11-13,610,66,0.10819672131147541,22,19
McHenry,2020-11-13,574,93,0.16202090592334495,25,23
Rock Island,2020-11-13,574,70,0.12195121951219512,18,17
Sangamon,2020-11-13,470,46,0.09787234042553192,19,19
Macon,2020-11-13,399,37,0.09273182957393483,11,9
Clinton,2020-11-13,383,34,0.08877284595300261,12,11
Coles,2020-11-13,343,44,0.1282798833819242,10,9
Tazewell,2020-11-13,296,37,0.125,17,16
McLean,2020-11-13,270,24,0.08888888888888889,15,13
Williamson,2020-11-13,249,41,0.1646586345381526,9,9
Adams,2020-11-13,240,19,0.07916666666666666,11,11
Jefferson,2020-11-13,237,45,0.189873417721519,5,5
DeKalb,2020-11-13,233,28,0.12017167381974249,11,10
Whiteside,2020-11-13,216,25,0.11574074074074074,12,12
Champaign,2020-11-13,212,14,0.0660377358490566,24,20
Knox,2020-11-13,209,19,0.09090909090909091,10,9
Monroe,2020-11-13,190,34,0.17894736842105263,5,5
Morgan,2020-11-13,172,24,0.13953488372093023,6,6
Christian,2020-11-13,164,22,0.13414634146341464,9,9
Boone,2020-11-13,162,17,0.10493827160493827,6,6
Marion,2020-11-13,154,14,0.09090909090909091,9,8
Shelby,2020-11-13,152,11,0.07236842105263158,5,4
Lee,2020-11-13,151,1,0.006622516556291391,4,3
Iroquois,2020-11-13,149,18,0.12080536912751678,6,6
Richland,2020-11-13,147,19,0.1292517006802721,5,5
Union,2020-11-13,143,20,0.13986013986013987,4,4
Carroll,2020-11-13,139,16,0.11510791366906475,2,2
Ford,2020-11-13,139,15,0.1079136690647482,7,6
McDonough,2020-11-13,139,26,0.18705035971223022,7,7
Pike,2020-11-13,134,11,0.08208955223880597,4,4
Jackson,2020-11-13,131,17,0.1297709923664122,7,6
Cass,2020-11-13,118,11,0.09322033898305085,3,3
Randolph,2020-11-13,117,5,0.042735042735042736,8,5
Greene,2020-11-13,117,16,0.13675213675213677,1,1
Lawrence,2020-11-13,114,5,0.043859649122807015,2,2
Fayette,2020-11-13,112,16,0.14285714285714285,3,3
Jersey,2020-11-13,105,18,0.17142857142857143,3,3
Mason,2020-11-13,101,12,0.1188118811881188,3,3
Kendall,2020-11-13,100,16,0.16,6,6
Woodford,2020-11-13,97,10,0.10309278350515463,6,6
Clark,2020-11-13,94,16,0.1702127659574468,4,4
Wayne,2020-11-13,91,11,0.12087912087912088,4,4
Perry,2020-11-13,79,12,0.1518987341772152,2,2
Macoupin,2020-11-13,78,3,0.038461538461538464,11,10
De Witt,2020-11-13,74,8,0.10810810810810811,1,1
Saline,2020-11-13,65,7,0.1076923076923077,2,2
Ogle,2020-11-13,64,2,0.03125,6,6
Clay,2020-11-13,64,13,0.203125,2,2
Vermilion,2020-11-13,61,3,0.04918032786885246,7,6
Bureau,2020-11-13,60,1,0.016666666666666666,5,5
Jasper,2020-11-13,58,8,0.13793103448275862,2,2
Franklin,2020-11-13,54,4,0.07407407407407407,5,5
Jo Daviess,2020-11-13,54,7,0.12962962962962962,4,3
Moultrie,2020-11-13,53,6,0.11320754716981132,3,3
Cumberland,2020-11-13,49,3,0.061224489795918366,1,1
White,2020-11-13,47,3,0.06382978723404255,2,2
Livingston,2020-11-13,45,1,0.022222222222222223,4,4
Bond,2020-11-13,41,4,0.0975609756097561,2,2
Stephenson,2020-11-13,41,5,0.12195121951219512,4,3
Edgar,2020-11-13,39,6,0.15384615384615385,1,1
Montgomery,2020-11-13,33,4,0.12121212121212122,5,5
Grundy,2020-11-13,31,3,0.0967741935483871,1,1
Wabash,2020-11-13,31,1,0.03225806451612903,2,2
Effingham,2020-11-13,29,0,0.0,4,4
Logan,2020-11-13,24,1,0.041666666666666664,5,4
Mercer,2020-11-13,16,4,0.25,1,1
Warren,2020-11-13,15,2,0.13333333333333333,2,2
Brown,2020-11-13,12,0,0.0,1,1
Douglas,2020-11-13,12,1,0.08333333333333333,2,2
Piatt,2020-11-13,11,2,0.18181818181818182,1,1
Scott,2020-11-13,7,0,0.0,1,1
Fulton,2020-11-13,5,0,0.0,1,1
Hancock,2020-11-13,3,1,0.3333333333333333,1,1
Crawford,2020-11-13,2,0,0.0,1,1
Washington,2020-11-13,2,1,0.5,1,1
