County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2020-05-29,9890,1583,0.16006066734074822,259,8,251,259
DuPage,2020-05-29,1751,297,0.16961736150770987,58,3,55,58
Lake,2020-05-29,1249,175,0.14011208967173738,35,2,33,35
Kane,2020-05-29,744,108,0.14516129032258066,27,1,26,27
Will,2020-05-29,744,143,0.1922043010752688,27,8,19,27
McHenry,2020-05-29,322,58,0.18012422360248448,10,1,9,10
St. Clair,2020-05-29,320,50,0.15625,12,0,12,12
Kankakee,2020-05-29,259,32,0.12355212355212356,11,1,10,11
Madison,2020-05-29,189,47,0.24867724867724866,5,0,5,5
Clinton,2020-05-29,173,16,0.09248554913294797,3,0,3,3
Winnebago,2020-05-29,147,30,0.20408163265306123,13,0,13,13
Rock Island,2020-05-29,127,21,0.16535433070866143,9,0,9,9
Sangamon,2020-05-29,124,24,0.1935483870967742,2,0,2,2
Macon,2020-05-29,98,19,0.19387755102040816,3,0,3,3
Union,2020-05-29,94,9,0.09574468085106383,3,0,3,3
Boone,2020-05-29,89,11,0.12359550561797752,2,0,2,2
Coles,2020-05-29,81,13,0.16049382716049382,2,0,2,2
Lee,2020-05-29,74,1,0.013513513513513514,1,0,1,1
Jefferson,2020-05-29,73,15,0.2054794520547945,1,0,1,1
Peoria,2020-05-29,72,7,0.09722222222222222,6,0,6,6
McLean,2020-05-29,60,10,0.16666666666666666,2,1,1,2
McDonough,2020-05-29,53,7,0.1320754716981132,3,0,3,3
Jasper,2020-05-29,49,7,0.14285714285714285,1,0,1,1
Kendall,2020-05-29,48,14,0.2916666666666667,3,1,2,3
Whiteside,2020-05-29,47,8,0.1702127659574468,3,1,2,3
Iroquois,2020-05-29,47,4,0.0851063829787234,2,0,2,2
Monroe,2020-05-29,42,11,0.2619047619047619,2,0,2,2
LaSalle,2020-05-29,41,9,0.21951219512195122,1,0,1,1
Jackson,2020-05-29,36,10,0.2777777777777778,2,0,2,2
Champaign,2020-05-29,13,0,0.0,2,0,2,2
Wayne,2020-05-29,6,1,0.16666666666666666,1,0,1,1
Macoupin,2020-05-29,6,0,0.0,2,1,1,2
Shelby,2020-05-29,6,0,0.0,1,1,0,1
Dekalb,2020-05-29,6,1,0.16666666666666666,1,0,1,1
Tazewell,2020-05-29,6,2,0.3333333333333333,1,0,1,1
Randolph,2020-05-29,4,0,0.0,2,0,2,2
Christian,2020-05-29,2,0,0.0,1,0,1,1
JoDaviess,2020-05-29,2,0,0.0,1,0,1,1
Fayette,2020-05-29,2,0,0.0,1,0,1,1
Ford,2020-05-29,2,0,0.0,1,0,1,1
Montgomery,2020-05-29,2,0,0.0,1,1,0,1
