County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2020-11-20,16195,2511,0.15504785427601112,441,229,212,356
DuPage,2020-11-20,3296,494,0.14987864077669902,133,62,71,94
Lake,2020-11-20,2613,368,0.14083429008802142,105,58,47,88
Kane,2020-11-20,1949,230,0.11800923550538737,90,49,41,71
Will,2020-11-20,1897,234,0.12335266209804956,70,40,30,41
Madison,2020-11-20,1332,152,0.11411411411411411,49,23,26,38
St. Clair,2020-11-20,1013,139,0.1372161895360316,44,10,34,42
Winnebago,2020-11-20,873,111,0.12714776632302405,43,20,23,39
Rock Island,2020-11-20,697,71,0.10186513629842181,23,11,12,22
LaSalle,2020-11-20,658,87,0.13221884498480244,16,8,8,14
Kankakee,2020-11-20,651,46,0.0706605222734255,21,11,10,16
Peoria,2020-11-20,642,77,0.11993769470404984,23,11,12,20
McHenry,2020-11-20,597,93,0.15577889447236182,32,17,15,28
Sangamon,2020-11-20,568,49,0.08626760563380281,23,8,15,21
Macon,2020-11-20,485,48,0.09896907216494845,11,4,7,9
Clinton,2020-11-20,448,43,0.09598214285714286,13,6,7,11
Coles,2020-11-20,403,48,0.11910669975186104,11,6,5,10
Tazewell,2020-11-20,370,41,0.11081081081081082,21,9,12,19
Whiteside,2020-11-20,338,36,0.10650887573964497,13,3,10,13
Adams,2020-11-20,330,22,0.06666666666666667,11,3,8,11
McLean,2020-11-20,298,26,0.087248322147651,18,7,11,16
DeKalb,2020-11-20,284,28,0.09859154929577464,13,5,8,12
Champaign,2020-11-20,277,18,0.06498194945848375,26,11,15,21
Knox,2020-11-20,276,29,0.10507246376811594,11,1,10,10
Jefferson,2020-11-20,268,45,0.16791044776119404,7,4,3,6
Williamson,2020-11-20,256,43,0.16796875,9,3,6,9
Marion,2020-11-20,245,14,0.05714285714285714,10,1,9,9
Boone,2020-11-20,206,17,0.0825242718446602,7,3,4,7
Monroe,2020-11-20,199,37,0.18592964824120603,5,2,3,5
Morgan,2020-11-20,197,25,0.12690355329949238,7,3,4,6
Lee,2020-11-20,182,4,0.02197802197802198,5,2,3,4
Pike,2020-11-20,171,11,0.06432748538011696,4,1,3,4
Christian,2020-11-20,165,22,0.13333333333333333,9,1,8,9
Iroquois,2020-11-20,161,18,0.11180124223602485,6,3,3,6
Shelby,2020-11-20,158,12,0.0759493670886076,5,3,2,4
McDonough,2020-11-20,150,29,0.19333333333333333,7,3,4,7
Jackson,2020-11-20,149,19,0.12751677852348994,7,2,5,6
Ford,2020-11-20,149,17,0.11409395973154363,7,5,2,6
Richland,2020-11-20,147,19,0.1292517006802721,5,0,5,5
Ogle,2020-11-20,147,3,0.02040816326530612,7,2,5,7
Carroll,2020-11-20,144,16,0.1111111111111111,2,0,2,2
Union,2020-11-20,143,20,0.13986013986013987,4,3,1,4
Randolph,2020-11-20,139,7,0.050359712230215826,8,4,4,5
Fayette,2020-11-20,125,16,0.128,4,1,3,4
Woodford,2020-11-20,121,14,0.11570247933884298,7,1,6,7
Bureau,2020-11-20,120,5,0.041666666666666664,5,1,4,5
Greene,2020-11-20,118,17,0.1440677966101695,1,0,1,1
Cass,2020-11-20,118,12,0.1016949152542373,3,1,2,3
Lawrence,2020-11-20,114,5,0.043859649122807015,2,1,1,2
Mason,2020-11-20,110,12,0.10909090909090909,5,2,3,5
Clark,2020-11-20,108,16,0.14814814814814814,4,1,3,4
Jersey,2020-11-20,105,18,0.17142857142857143,3,1,2,3
Kendall,2020-11-20,104,16,0.15384615384615385,7,3,4,7
Wayne,2020-11-20,102,15,0.14705882352941177,4,2,2,4
Macoupin,2020-11-20,98,3,0.030612244897959183,13,6,7,12
Franklin,2020-11-20,97,6,0.061855670103092786,6,1,5,6
Livingston,2020-11-20,91,1,0.01098901098901099,8,1,7,7
Jo Daviess,2020-11-20,82,11,0.13414634146341464,4,2,2,3
Perry,2020-11-20,79,12,0.1518987341772152,2,1,1,2
Stephenson,2020-11-20,79,6,0.0759493670886076,4,1,3,3
De Witt,2020-11-20,77,9,0.11688311688311688,1,0,1,1
