County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Cook,2020-08-14,13714,2348,0.17121190024792182,292,287
DuPage,2020-08-14,2292,419,0.18280977312390925,67,66
Lake,2020-08-14,2284,347,0.15192644483362522,55,54
Kane,2020-08-14,1083,178,0.16435826408125578,44,42
Will,2020-08-14,895,173,0.19329608938547485,38,30
St. Clair,2020-08-14,633,105,0.16587677725118483,21,21
Winnebago,2020-08-14,571,96,0.1681260945709282,17,17
McHenry,2020-08-14,501,90,0.17964071856287425,14,13
Kankakee,2020-08-14,378,40,0.10582010582010581,12,12
Madison,2020-08-14,376,71,0.18882978723404256,21,19
Rock Island,2020-08-14,266,35,0.13157894736842105,14,14
LaSalle,2020-08-14,187,19,0.10160427807486631,7,7
Clinton,2020-08-14,185,16,0.08648648648648649,4,4
Peoria,2020-08-14,170,29,0.17058823529411765,9,9
Sangamon,2020-08-14,168,28,0.16666666666666666,9,9
Jefferson,2020-08-14,148,19,0.12837837837837837,5,5
DeKalb,2020-08-14,146,23,0.15753424657534246,4,4
Union,2020-08-14,132,20,0.15151515151515152,3,3
Iroquois,2020-08-14,128,12,0.09375,3,3
Macon,2020-08-14,119,22,0.18487394957983194,8,7
Coles,2020-08-14,117,20,0.17094017094017094,5,5
Boone,2020-08-14,95,16,0.16842105263157894,2,2
Lee,2020-08-14,85,1,0.011764705882352941,1,1
Whiteside,2020-08-14,78,10,0.1282051282051282,6,6
Morgan,2020-08-14,78,5,0.0641025641025641,3,3
McDonough,2020-08-14,69,16,0.2318840579710145,3,3
McLean,2020-08-14,67,11,0.16417910447761194,3,3
Monroe,2020-08-14,67,11,0.16417910447761194,4,4
Jackson,2020-08-14,62,15,0.24193548387096775,2,2
Kendall,2020-08-14,62,14,0.22580645161290322,3,3
Cass,2020-08-14,60,11,0.18333333333333332,2,2
Champaign,2020-08-14,51,5,0.09803921568627451,6,6
Perry,2020-08-14,51,2,0.0392156862745098,1,1
Jasper,2020-08-14,49,8,0.16326530612244897,1,1
Adams,2020-08-14,35,3,0.08571428571428572,4,4
Grundy,2020-08-14,34,3,0.08823529411764706,2,2
Cumberland,2020-08-14,34,3,0.08823529411764706,1,1
Tazewell,2020-08-14,32,6,0.1875,5,5
Ford,2020-08-14,26,1,0.038461538461538464,4,4
Carroll,2020-08-14,20,4,0.2,1,1
Jersey,2020-08-14,19,1,0.05263157894736842,1,1
Montgomery,2020-08-14,15,2,0.13333333333333333,2,2
Knox,2020-08-14,13,0,0.0,1,1
Macoupin,2020-08-14,12,0,0.0,3,3
Mercer,2020-08-14,12,2,0.16666666666666666,1,1
Shelby,2020-08-14,10,0,0.0,3,3
Ogle,2020-08-14,9,0,0.0,2,2
Randolph,2020-08-14,9,0,0.0,3,2
Wayne,2020-08-14,8,1,0.125,2,2
Clark,2020-08-14,7,0,0.0,1,1
Scott,2020-08-14,6,0,0.0,1,1
Wabash,2020-08-14,6,0,0.0,2,2
Moultrie,2020-08-14,5,0,0.0,1,1
Jo Daviess,2020-08-14,5,0,0.0,2,1
Vermilion,2020-08-14,4,0,0.0,1,1
Bond,2020-08-14,4,0,0.0,1,1
Christian,2020-08-14,4,0,0.0,2,2
Logan,2020-08-14,3,0,0.0,1,1
Bureau,2020-08-14,3,0,0.0,1,1
Stephenson,2020-08-14,2,0,0.0,1,1
Warren,2020-08-14,2,0,0.0,1,1
Marion,2020-08-14,2,0,0.0,1,1
Williamson,2020-08-14,2,0,0.0,1,1
Woodford,2020-08-14,2,0,0.0,1,1
