County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2020-09-11,14067,2373,0.1686926850074643,304,80,224,294
DuPage,2020-09-11,2343,428,0.1826717883055911,75,30,45,71
Lake,2020-09-11,2083,328,0.15746519443110898,58,40,18,56
Kane,2020-09-11,1166,183,0.1569468267581475,48,31,17,46
Will,2020-09-11,980,175,0.17857142857142858,47,28,19,35
St. Clair,2020-09-11,729,110,0.15089163237311384,27,2,25,26
Madison,2020-09-11,653,90,0.13782542113323124,25,11,14,22
Winnebago,2020-09-11,610,101,0.16557377049180327,16,13,3,16
Kankakee,2020-09-11,524,42,0.08015267175572519,15,8,7,14
McHenry,2020-09-11,518,92,0.1776061776061776,16,12,4,15
Rock Island,2020-09-11,387,57,0.14728682170542637,14,7,7,14
LaSalle,2020-09-11,288,40,0.1388888888888889,9,1,8,9
Peoria,2020-09-11,230,33,0.14347826086956522,11,6,5,10
Sangamon,2020-09-11,205,32,0.15609756097560976,9,5,4,9
Clinton,2020-09-11,201,16,0.07960199004975124,6,4,2,5
Jefferson,2020-09-11,180,36,0.2,5,3,2,5
Macon,2020-09-11,174,24,0.13793103448275862,7,0,7,6
Williamson,2020-09-11,163,13,0.07975460122699386,6,0,6,6
Coles,2020-09-11,160,20,0.125,6,3,3,5
DeKalb,2020-09-11,154,25,0.16233766233766234,6,3,3,5
Morgan,2020-09-11,139,19,0.1366906474820144,3,0,3,3
Iroquois,2020-09-11,133,19,0.14285714285714285,3,2,1,3
Union,2020-09-11,132,20,0.15151515151515152,3,1,2,3
Lee,2020-09-11,104,1,0.009615384615384616,2,1,1,1
Boone,2020-09-11,95,16,0.16842105263157894,2,2,0,2
Tazewell,2020-09-11,92,7,0.07608695652173914,9,4,5,7
Whiteside,2020-09-11,87,11,0.12643678160919541,6,1,5,6
Jackson,2020-09-11,82,16,0.1951219512195122,3,0,3,3
McLean,2020-09-11,78,11,0.14102564102564102,4,2,2,3
Perry,2020-09-11,78,11,0.14102564102564102,2,0,2,2
McDonough,2020-09-11,71,16,0.22535211267605634,4,3,1,4
Jersey,2020-09-11,69,6,0.08695652173913043,1,0,1,1
Monroe,2020-09-11,68,11,0.16176470588235295,4,2,2,4
Cass,2020-09-11,63,11,0.1746031746031746,2,1,1,2
Kendall,2020-09-11,62,14,0.22580645161290322,3,1,2,3
Adams,2020-09-11,60,6,0.1,5,1,4,5
Champaign,2020-09-11,53,5,0.09433962264150944,7,4,3,7
Christian,2020-09-11,52,3,0.057692307692307696,7,1,6,7
Jasper,2020-09-11,51,8,0.1568627450980392,2,0,2,2
Ford,2020-09-11,49,3,0.061224489795918366,4,3,1,4
Macoupin,2020-09-11,41,2,0.04878048780487805,5,1,4,5
Cumberland,2020-09-11,34,3,0.08823529411764706,1,0,1,1
Grundy,2020-09-11,31,3,0.0967741935483871,1,1,0,1
Moultrie,2020-09-11,31,3,0.0967741935483871,1,0,1,1
Edgar,2020-09-11,28,2,0.07142857142857142,1,0,1,1
Marion,2020-09-11,28,0,0.0,3,0,3,3
Carroll,2020-09-11,26,2,0.07692307692307693,1,0,1,1
Bureau,2020-09-11,18,0,0.0,2,0,2,2
Montgomery,2020-09-11,17,2,0.11764705882352941,3,1,2,3
Bond,2020-09-11,16,0,0.0,2,0,2,2
Knox,2020-09-11,15,2,0.13333333333333333,2,0,2,2
Mercer,2020-09-11,14,3,0.21428571428571427,1,0,1,1
Jo Daviess,2020-09-11,14,0,0.0,3,1,2,2
Randolph,2020-09-11,12,0,0.0,3,1,2,2
Shelby,2020-09-11,11,0,0.0,3,1,2,3
Livingston,2020-09-11,11,0,0.0,3,0,3,3
Ogle,2020-09-11,10,0,0.0,2,0,2,2
Woodford,2020-09-11,9,1,0.1111111111111111,2,0,2,2
Effingham,2020-09-11,9,0,0.0,3,0,3,3
Wabash,2020-09-11,9,0,0.0,3,0,3,3
Richland,2020-09-11,8,0,0.0,1,0,1,1
Clark,2020-09-11,8,0,0.0,1,0,1,1
Wayne,2020-09-11,8,1,0.125,2,2,0,2
Vermilion,2020-09-11,8,0,0.0,2,0,2,2
Scott,2020-09-11,7,0,0.0,1,1,0,1
Logan,2020-09-11,7,0,0.0,2,1,1,1
White,2020-09-11,6,0,0.0,2,0,2,2
Franklin,2020-09-11,2,0,0.0,1,0,1,1
Fayette,2020-09-11,2,0,0.0,1,0,1,1
Stephenson,2020-09-11,2,0,0.0,1,1,0,1
Hardin,2020-09-11,2,0,0.0,1,0,1,1
Warren,2020-09-11,2,0,0.0,1,0,1,1
Lawrence,2020-09-11,2,0,0.0,1,0,1,1
Douglas,2020-09-11,2,0,0.0,1,0,1,1
De Witt,2020-09-11,2,0,0.0,1,0,1,1
Pike,2020-09-11,2,0,0.0,1,0,1,1
