County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2020-12-25,20864,2922,0.14004984662576686,510,252,258,390
DuPage,2020-12-25,4529,561,0.12386840362110842,148,70,78,99
Lake,2020-12-25,3475,445,0.12805755395683452,120,62,58,98
Will,2020-12-25,2731,287,0.10508971072867082,76,43,33,46
Kane,2020-12-25,2518,287,0.11397934868943606,92,55,37,72
Madison,2020-12-25,1786,223,0.12486002239641657,58,29,29,45
Winnebago,2020-12-25,1582,178,0.1125158027812895,52,24,28,46
St. Clair,2020-12-25,1558,163,0.10462130937098844,50,12,38,48
Sangamon,2020-12-25,1148,99,0.08623693379790941,30,17,13,27
Kankakee,2020-12-25,1111,67,0.06030603060306031,23,12,11,18
Rock Island,2020-12-25,1106,136,0.12296564195298372,28,11,17,27
Peoria,2020-12-25,1054,108,0.10246679316888045,29,14,15,25
LaSalle,2020-12-25,915,148,0.16174863387978142,20,9,11,15
McHenry,2020-12-25,909,122,0.1342134213421342,34,18,16,29
Tazewell,2020-12-25,740,88,0.11891891891891893,33,13,20,30
Clinton,2020-12-25,646,53,0.08204334365325078,17,8,9,15
Macon,2020-12-25,573,61,0.10645724258289703,14,5,9,11
Adams,2020-12-25,567,42,0.07407407407407407,13,4,9,13
McLean,2020-12-25,564,49,0.08687943262411348,21,8,13,19
Marion,2020-12-25,564,48,0.0851063829787234,11,1,10,10
Whiteside,2020-12-25,530,82,0.15471698113207547,14,3,11,14
Coles,2020-12-25,529,59,0.11153119092627599,17,8,9,16
DeKalb,2020-12-25,458,43,0.09388646288209607,15,5,10,14
Knox,2020-12-25,451,78,0.1729490022172949,14,1,13,13
Champaign,2020-12-25,446,38,0.08520179372197309,29,19,10,23
Williamson,2020-12-25,384,53,0.13802083333333334,14,4,10,13
Morgan,2020-12-25,365,50,0.136986301369863,10,5,5,9
Jefferson,2020-12-25,334,47,0.1407185628742515,9,4,5,8
Boone,2020-12-25,307,43,0.14006514657980457,7,3,4,7
Ford,2020-12-25,290,31,0.10689655172413794,9,6,3,8
Randolph,2020-12-25,272,19,0.06985294117647059,12,5,7,9
Macoupin,2020-12-25,270,40,0.14814814814814814,17,6,11,13
Iroquois,2020-12-25,270,28,0.1037037037037037,9,3,6,9
Lee,2020-12-25,260,37,0.1423076923076923,6,2,4,5
Vermilion,2020-12-25,245,32,0.1306122448979592,12,1,11,10
Bureau,2020-12-25,243,33,0.13580246913580246,6,1,5,6
Monroe,2020-12-25,238,41,0.1722689075630252,6,2,4,6
Franklin,2020-12-25,229,22,0.09606986899563319,7,1,6,7
Ogle,2020-12-25,229,30,0.13100436681222707,9,3,6,9
Woodford,2020-12-25,224,22,0.09821428571428571,8,1,7,8
Jackson,2020-12-25,217,28,0.12903225806451613,9,2,7,7
Pike,2020-12-25,216,19,0.08796296296296297,4,1,3,4
Richland,2020-12-25,213,25,0.11737089201877934,7,1,6,7
Perry,2020-12-25,202,33,0.16336633663366337,5,2,3,5
Kendall,2020-12-25,192,31,0.16145833333333334,8,5,3,8
Christian,2020-12-25,189,35,0.18518518518518517,10,3,7,10
Livingston,2020-12-25,186,27,0.14516129032258066,11,1,10,10
Jersey,2020-12-25,185,24,0.12972972972972974,6,1,5,6
Stephenson,2020-12-25,170,27,0.1588235294117647,7,1,6,6
McDonough,2020-12-25,170,37,0.21764705882352942,10,4,6,10
Mason,2020-12-25,169,25,0.14792899408284024,6,3,3,6
Moultrie,2020-12-25,167,27,0.16167664670658682,7,1,6,7
Effingham,2020-12-25,164,23,0.1402439024390244,6,1,5,6
Logan,2020-12-25,162,31,0.19135802469135801,7,2,5,5
Shelby,2020-12-25,161,14,0.08695652173913043,5,3,2,4
Lawrence,2020-12-25,152,15,0.09868421052631579,2,0,2,2
Carroll,2020-12-25,148,17,0.11486486486486487,2,0,2,2
Henry,2020-12-25,146,18,0.1232876712328767,7,0,7,7
Grundy,2020-12-25,139,8,0.05755395683453238,4,1,3,4
Union,2020-12-25,139,20,0.14388489208633093,5,3,2,5
Fayette,2020-12-25,138,18,0.13043478260869565,5,1,4,5
Clark,2020-12-25,126,20,0.15873015873015872,4,1,3,4
Greene,2020-12-25,125,25,0.2,1,0,1,1
Clay,2020-12-25,119,19,0.15966386554621848,3,1,2,3
Cass,2020-12-25,119,21,0.17647058823529413,3,2,1,3
Wayne,2020-12-25,115,19,0.16521739130434782,5,2,3,5
Massac,2020-12-25,103,17,0.1650485436893204,1,0,1,1
White,2020-12-25,98,9,0.09183673469387756,2,0,2,2
Jo Daviess,2020-12-25,98,12,0.12244897959183673,4,2,2,3
De Witt,2020-12-25,92,17,0.18478260869565216,1,0,1,1
Fulton,2020-12-25,90,5,0.05555555555555555,4,0,4,4
Saline,2020-12-25,86,22,0.2558139534883721,2,0,2,2
Edgar,2020-12-25,86,17,0.19767441860465115,3,1,2,3
Jasper,2020-12-25,74,10,0.13513513513513514,3,2,1,2
Wabash,2020-12-25,67,2,0.029850746268656716,2,1,1,2
Warren,2020-12-25,65,13,0.2,5,2,3,3
Washington,2020-12-25,64,10,0.15625,3,1,2,3
Cumberland,2020-12-25,62,14,0.22580645161290322,3,1,2,2
Bond,2020-12-25,58,5,0.08620689655172414,4,1,3,4
Crawford,2020-12-25,58,11,0.1896551724137931,2,0,2,2
Mercer,2020-12-25,54,11,0.2037037037037037,2,1,1,2
Stark,2020-12-25,54,8,0.14814814814814814,1,0,1,1
Brown,2020-12-25,52,9,0.17307692307692307,1,0,1,1
Montgomery,2020-12-25,51,4,0.0784313725490196,7,2,5,7
Schuyler,2020-12-25,42,9,0.21428571428571427,1,0,1,1
Douglas,2020-12-25,37,5,0.13513513513513514,5,1,4,4
Hancock,2020-12-25,36,10,0.2777777777777778,2,0,2,2
Menard,2020-12-25,27,4,0.14814814814814814,1,0,1,1
Piatt,2020-12-25,17,5,0.29411764705882354,2,0,2,2
Henderson,2020-12-25,16,1,0.0625,1,0,1,1
Scott,2020-12-25,9,0,0.0,2,1,1,2
Johnson,2020-12-25,7,4,0.5714285714285714,1,0,1,1
Calhoun,2020-12-25,2,0,0.0,1,1,0,1
