County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2020-12-18,20123,2822,0.1402375391343239,505,249,256,388
DuPage,2020-12-18,4370,556,0.12723112128146452,147,69,78,99
Lake,2020-12-18,3323,430,0.12940114354498947,119,61,58,97
Will,2020-12-18,2593,263,0.10142691862707288,75,41,34,46
Kane,2020-12-18,2434,286,0.11750205423171733,93,50,43,72
Madison,2020-12-18,1695,207,0.12212389380530973,58,28,30,45
Winnebago,2020-12-18,1540,171,0.11103896103896103,51,22,29,46
St. Clair,2020-12-18,1478,162,0.10960757780784844,50,11,39,48
Rock Island,2020-12-18,1023,123,0.12023460410557185,27,11,16,26
Peoria,2020-12-18,1014,100,0.09861932938856016,28,13,15,24
Kankakee,2020-12-18,1011,65,0.06429277942631058,23,12,11,18
Sangamon,2020-12-18,996,89,0.0893574297188755,30,15,15,27
LaSalle,2020-12-18,895,129,0.1441340782122905,20,9,11,15
McHenry,2020-12-18,842,118,0.14014251781472684,34,17,17,29
Tazewell,2020-12-18,642,78,0.12149532710280374,33,12,21,30
Clinton,2020-12-18,632,50,0.07911392405063292,17,8,9,15
Macon,2020-12-18,558,60,0.10752688172043011,13,5,8,10
Marion,2020-12-18,528,45,0.08522727272727272,10,1,9,9
McLean,2020-12-18,516,45,0.0872093023255814,20,8,12,18
Coles,2020-12-18,511,53,0.10371819960861056,16,7,9,15
Adams,2020-12-18,502,40,0.0796812749003984,13,4,9,13
Whiteside,2020-12-18,498,81,0.16265060240963855,14,3,11,14
DeKalb,2020-12-18,455,38,0.08351648351648351,15,5,10,14
Knox,2020-12-18,446,78,0.17488789237668162,14,1,13,13
Champaign,2020-12-18,443,36,0.08126410835214447,29,14,15,23
Williamson,2020-12-18,374,51,0.13636363636363635,14,4,10,13
Morgan,2020-12-18,360,45,0.125,10,4,6,9
Jefferson,2020-12-18,314,47,0.14968152866242038,8,4,4,7
Boone,2020-12-18,307,42,0.13680781758957655,7,3,4,7
Ford,2020-12-18,287,24,0.08362369337979095,9,6,3,8
Iroquois,2020-12-18,269,27,0.10037174721189591,9,3,6,9
Macoupin,2020-12-18,266,34,0.12781954887218044,17,6,11,13
Randolph,2020-12-18,251,16,0.06374501992031872,12,5,7,9
Lee,2020-12-18,247,36,0.145748987854251,6,2,4,5
Monroe,2020-12-18,238,41,0.1722689075630252,6,2,4,6
Bureau,2020-12-18,237,32,0.1350210970464135,6,1,5,6
Vermilion,2020-12-18,235,31,0.13191489361702127,10,1,9,9
Ogle,2020-12-18,223,27,0.1210762331838565,9,3,6,9
Woodford,2020-12-18,221,23,0.10407239819004525,7,1,6,7
Richland,2020-12-18,208,22,0.10576923076923077,7,1,6,7
Jackson,2020-12-18,205,27,0.13170731707317074,9,2,7,7
Perry,2020-12-18,197,32,0.16243654822335024,5,2,3,5
Pike,2020-12-18,196,19,0.09693877551020408,4,1,3,4
Kendall,2020-12-18,194,31,0.15979381443298968,8,4,4,8
Christian,2020-12-18,189,35,0.18518518518518517,10,3,7,10
