County,confirmed_cases,deaths,% deaths,num of facilities
Cook,14370,2397,0.16680584551148225,338
DuPage,2386,436,0.18273260687342832,84
Lake,2191,339,0.15472387037882246,69
Kane,1237,189,0.15278900565885206,59
Will,1198,187,0.15609348914858096,55
St. Clair,853,123,0.14419695193434937,31
Winnebago,621,107,0.1723027375201288,20
Madison,788,105,0.13324873096446702,33
McHenry,516,92,0.17829457364341086,16
Rock Island,445,66,0.14831460674157304,15
Kankakee,548,47,0.08576642335766424,17
LaSalle,293,43,0.14675767918088736,9
Peoria,310,39,0.12580645161290321,17
Williamson,238,39,0.1638655462184874,8
Jefferson,202,36,0.1782178217821782,6
Sangamon,288,35,0.12152777777777778,12
Macon,254,33,0.12992125984251968,9
DeKalb,193,27,0.13989637305699482,8
Coles,208,25,0.1201923076923077,7
Morgan,154,22,0.14285714285714285,5
Tazewell,149,21,0.14093959731543623,11
Union,132,20,0.15151515151515152,3
Monroe,134,19,0.1417910447761194,4
Iroquois,132,18,0.13636363636363635,3
Jackson,76,16,0.21052631578947367,3
Boone,95,16,0.16842105263157894,2
McDonough,71,16,0.22535211267605634,4
Clinton,212,16,0.07547169811320754,8
Jersey,99,15,0.15151515151515152,1
Greene,100,14,0.14,1
Kendall,68,14,0.20588235294117646,4
Christian,154,14,0.09090909090909091,8
McLean,153,13,0.08496732026143791,12
Perry,79,12,0.1518987341772152,2
Cass,66,11,0.16666666666666666,2
Whiteside,93,11,0.11827956989247312,6
Champaign,87,9,0.10344827586206896,12
Jasper,56,8,0.14285714285714285,2
Adams,113,6,0.05309734513274336,6
Edgar,33,6,0.18181818181818182,1
Richland,84,5,0.05952380952380952,3
Fayette,63,5,0.07936507936507936,3
Mercer,16,4,0.25,1
Woodford,40,4,0.1,3
Bond,40,4,0.1,2
Macoupin,52,3,0.057692307692307696,6
Ford,56,3,0.05357142857142857,5
Carroll,33,3,0.09090909090909091,2
Montgomery,17,3,0.17647058823529413,3
Moultrie,36,3,0.08333333333333333,2
Cumberland,35,3,0.08571428571428572,1
Grundy,31,3,0.0967741935483871,1
Knox,50,2,0.04,3
Shelby,71,2,0.028169014084507043,4
Bureau,18,1,0.05555555555555555,2
Wayne,15,1,0.06666666666666667,4
Warren,11,1,0.09090909090909091,2
Wabash,42,1,0.023809523809523808,3
Lee,125,1,0.008,2
Marion,16,1,0.0625,6
Livingston,18,1,0.05555555555555555,3
Pike,3,1,0.3333333333333333,1
Randolph,19,0,0.0,5
Vermilion,8,0,0.0,2
Brown,3,0,0.0,1
Clark,28,0,0.0,3
White,14,0,0.0,2
Lawrence,2,0,0.0,1
Jo Daviess,6,0,0.0,2
Hardin,2,0,0.0,1
Clay,50,0,0.0,1
Ogle,25,0,0.0,3
Stephenson,2,0,0.0,1
De Witt,35,0,0.0,1
Franklin,4,0,0.0,2
Scott,7,0,0.0,1
Douglas,2,0,0.0,1
Logan,6,0,0.0,2
Effingham,9,0,0.0,3
Saline,4,0,0.0,1
