County,confirmed_cases,deaths,% deaths,num of facilities
Cook,13741,2350,0.17102103194818427,290
DuPage,2313,423,0.1828793774319066,71
Lake,2126,306,0.14393226716839136,55
Kane,1118,177,0.15831842576028624,46
Will,930,174,0.1870967741935484,40
St. Clair,653,106,0.16232771822358347,22
Winnebago,583,99,0.16981132075471697,17
McHenry,504,90,0.17857142857142858,14
Madison,475,75,0.15789473684210525,22
Kankakee,381,41,0.10761154855643044,12
Rock Island,317,40,0.12618296529968454,14
LaSalle,199,30,0.1507537688442211,7
Peoria,182,29,0.15934065934065933,9
Sangamon,177,28,0.15819209039548024,9
Jefferson,157,25,0.1592356687898089,5
DeKalb,147,24,0.16326530612244897,4
Macon,121,22,0.18181818181818182,8
Coles,122,20,0.16393442622950818,6
Union,132,20,0.15151515151515152,3
Clinton,190,16,0.08421052631578947,5
Boone,95,16,0.16842105263157894,2
McDonough,69,16,0.2318840579710145,3
Jackson,63,15,0.23809523809523808,2
Iroquois,133,14,0.10526315789473684,3
Kendall,62,14,0.22580645161290322,3
Morgan,132,13,0.09848484848484848,4
Cass,62,11,0.1774193548387097,2
McLean,72,11,0.1527777777777778,4
Monroe,67,11,0.16417910447761194,4
Whiteside,81,10,0.12345679012345678,6
Jasper,49,8,0.16326530612244897,1
Tazewell,32,6,0.1875,5
Champaign,51,5,0.09803921568627451,6
Adams,47,4,0.0851063829787234,5
Perry,62,3,0.04838709677419355,1
Grundy,31,3,0.0967741935483871,1
Cumberland,34,3,0.08823529411764706,1
Mercer,12,2,0.16666666666666666,1
Carroll,22,2,0.09090909090909091,1
Montgomery,15,2,0.13333333333333333,2
Lee,84,1,0.011904761904761904,1
Knox,13,1,0.07692307692307693,1
Wayne,8,1,0.125,2
Ford,43,1,0.023255813953488372,4
Jersey,29,1,0.034482758620689655,1
Warren,2,0,0.0,1
Wabash,9,0,0.0,3
Williamson,31,0,0.0,3
Shelby,10,0,0.0,3
Stephenson,2,0,0.0,1
Scott,7,0,0.0,1
Vermilion,4,0,0.0,1
Logan,3,0,0.0,1
Randolph,9,0,0.0,3
Ogle,10,0,0.0,2
Moultrie,20,0,0.0,1
Marion,4,0,0.0,2
Macoupin,31,0,0.0,5
Bond,4,0,0.0,1
Jo Daviess,5,0,0.0,2
Franklin,2,0,0.0,1
Effingham,5,0,0.0,2
Edgar,10,0,0.0,1
Douglas,2,0,0.0,1
Clark,8,0,0.0,1
Christian,7,0,0.0,3
Bureau,3,0,0.0,1
Woodford,2,0,0.0,1
