County,confirmed_cases,deaths,% deaths,num of facilities
Cook,14124,2380,0.1685075049561031,311
DuPage,2367,431,0.18208702999577525,78
Lake,2129,336,0.15782057303898545,65
Kane,1181,187,0.15834038950042337,50
Will,1030,177,0.17184466019417477,48
St. Clair,795,111,0.13962264150943396,29
Winnebago,610,101,0.16557377049180327,16
Madison,700,96,0.13714285714285715,28
McHenry,515,92,0.1786407766990291,15
Rock Island,418,60,0.14354066985645933,14
Kankakee,531,44,0.08286252354048965,15
LaSalle,298,37,0.12416107382550336,9
Jefferson,181,36,0.19889502762430938,5
Peoria,243,36,0.14814814814814814,12
Sangamon,210,32,0.1523809523809524,9
Macon,214,28,0.1308411214953271,8
DeKalb,165,25,0.15151515151515152,6
Coles,185,23,0.12432432432432433,6
Williamson,204,21,0.10294117647058823,6
Union,132,20,0.15151515151515152,3
Morgan,142,19,0.13380281690140844,4
Iroquois,132,18,0.13636363636363635,3
Jackson,85,16,0.18823529411764706,3
McDonough,71,16,0.22535211267605634,4
Clinton,227,16,0.07048458149779736,8
Boone,95,16,0.16842105263157894,2
Kendall,62,14,0.22580645161290322,3
Perry,79,11,0.13924050632911392,2
McLean,96,11,0.11458333333333333,6
Cass,64,11,0.171875,2
Monroe,71,11,0.15492957746478872,4
Whiteside,91,11,0.12087912087912088,6
Jasper,51,8,0.1568627450980392,2
Jersey,82,8,0.0975609756097561,1
Tazewell,84,7,0.08333333333333333,8
Adams,66,6,0.09090909090909091,6
Christian,71,5,0.07042253521126761,7
Champaign,60,5,0.08333333333333333,9
Grundy,31,3,0.0967741935483871,1
Ford,49,3,0.061224489795918366,4
Macoupin,50,3,0.06,6
Moultrie,32,3,0.09375,1
Cumberland,35,3,0.08571428571428572,1
Mercer,16,3,0.1875,1
Knox,16,2,0.125,2
Greene,87,2,0.022988505747126436,1
Edgar,32,2,0.0625,1
Carroll,27,2,0.07407407407407407,1
Montgomery,17,2,0.11764705882352941,3
Wayne,8,1,0.125,2
Livingston,12,1,0.08333333333333333,3
Woodford,9,1,0.1111111111111111,2
Bureau,18,1,0.05555555555555555,2
Lee,105,1,0.009523809523809525,2
Hardin,2,0,0.0,1
Clark,8,0,0.0,1
Douglas,2,0,0.0,1
Effingham,9,0,0.0,3
White,7,0,0.0,2
Fayette,4,0,0.0,2
Warren,2,0,0.0,1
Wabash,9,0,0.0,3
Vermilion,8,0,0.0,2
Franklin,2,0,0.0,1
Marion,9,0,0.0,3
Ogle,10,0,0.0,2
Jo Daviess,14,0,0.0,3
Shelby,23,0,0.0,4
Scott,7,0,0.0,1
Lawrence,2,0,0.0,1
Richland,8,0,0.0,1
Randolph,14,0,0.0,4
Pike,2,0,0.0,1
Bond,17,0,0.0,2
Logan,10,0,0.0,3
Stephenson,2,0,0.0,1
